# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	-9999	-9999	--------	-9999	-9999	1	----	
0:0:14	-9999	-9999	--------	-9999	-9999	2	----	
0:0:15	-9999	-9999	--------	-9999	-9999	3	----	
0:0:16	400	270	--------	-9999	-9999	0	----	S1
0:0:17	507	279	--------	-9999	-9999	1	----	S1
0:0:18	507	278	--------	-9999	-9999	2	----	S1
0:0:19	504	261	--------	-9999	-9999	3	----	S1
0:0:20	500	258	Fixation	504.5	269	4	----	S1
0:0:21	496	263	Fixation	502.8	267.8	5	----	S1
0:0:22	495	245	Fixation	501.5	264	6	----	S1
0:0:23	492	243	Fixation	500.143	261	7	----	S1
0:1:0	502	255	Fixation	500.375	260.25	8	----	S1
0:1:1	591	257	--------	-9999	-9999	0	----	S1
0:1:2	587	267	--------	-9999	-9999	1	----	S1
0:1:3	587	259	--------	-9999	-9999	2	----	S1
0:1:4	582	257	--------	-9999	-9999	3	----	S1
0:1:5	581	258	Fixation	584.25	260.25	4	----	S1
0:1:6	582	253	Fixation	583.8	258.8	5	----	S1
0:1:7	572	250	Fixation	581.833	257.333	6	----	S1
0:1:8	734	253	--------	-9999	-9999	0	----	S1
0:1:9	743	263	--------	-9999	-9999	1	----	S1
0:1:10	744	272	--------	-9999	-9999	2	----	S1
0:1:11	745	281	--------	-9999	-9999	3	----	S1
0:1:12	743	260	Fixation	743.75	269	4	----	S1
0:1:13	746	261	Fixation	744.2	267.4	5	----	S1
0:1:14	746	282	Fixation	744.5	269.833	6	----	S1
0:1:15	749	267	Fixation	745.143	269.429	7	----	S1
0:1:16	749	267	Fixation	745.625	269.125	8	----	S1
0:1:17	979	285	--------	-9999	-9999	0	----	S1
0:1:18	982	266	--------	-9999	-9999	1	----	S1
0:1:19	984	265	--------	-9999	-9999	2	----	S1
0:1:20	986	266	--------	-9999	-9999	3	----	S1
0:1:21	987	265	Fixation	984.75	265.5	4	----	S1
0:1:22	985	262	Fixation	984.8	264.8	5	----	S1
0:1:23	1264	279	--------	-9999	-9999	0	----	S1
0:2:0	1329	236	--------	-9999	-9999	1	----	S1
0:2:1	1301	270	--------	-9999	-9999	2	----	S1
0:2:2	1290	257	--------	-9999	-9999	3	----	S1
0:2:3	1292	271	Fixation	1303	258.5	4	----	S1
0:2:4	1290	246	Fixation	1300.4	256	5	----	S1
0:2:5	1288	256	Fixation	1298.33	256	6	----	S1
0:2:6	1278	252	Fixation	1295.43	255.429	7	----	S1
0:2:7	1349	269	--------	-9999	-9999	0	----	S1
