# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	-1	-1	--------	-9999	-9999	2	----	
0:0:14	-1	-1	Fixation	-0.5	-0.5	4	----	
0:0:15	-1	-1	Fixation	-0.5	-0.5	6	----	
0:0:16	-1	-1	Fixation	-0.5	-0.5	8	----	
0:0:17	-1	-1	Fixation	-0.5	-0.5	10	----	
0:0:18	-1	-1	Fixation	-0.5	-0.5	12	----	
0:0:19	-1	-1	Fixation	-0.5	-0.5	14	----	
0:0:20	-1	-1	Fixation	-0.5	-0.5	16	----	
0:0:21	-1	-1	Fixation	-0.5	-0.5	18	----	
0:0:22	-1	-1	Fixation	-0.5	-0.5	20	----	
0:0:23	217	59	--------	-9999	-9999	0	----	S2
0:1:0	188	56	--------	-9999	-9999	1	----	S2
0:1:1	200	61	--------	-9999	-9999	2	----	S2
0:1:2	171	48	--------	-9999	-9999	3	----	S2
0:1:3	203	71	Fixation	190.5	59	4	----	S2
0:1:4	-9999	-9999	--------	-9999	-9999	0	----	S2
0:1:5	195	21	--------	-9999	-9999	1	----	S2
0:1:6	284	173	--------	-9999	-9999	0	----	S2
0:1:7	228	59	--------	-9999	-9999	1	----	S2
0:1:8	257	67	--------	-9999	-9999	2	----	S2
0:1:9	253	47	--------	-9999	-9999	3	----	S2
0:1:10	-9999	-9999	--------	-9999	-9999	0	----	S2
0:1:11	-9999	-9999	--------	-9999	-9999	1	----	S2
0:1:12	302	48	--------	-9999	-9999	0	----	S2
0:1:13	313	72	--------	-9999	-9999	1	----	S2
0:1:14	-9999	-9999	--------	-9999	-9999	0	----	S2
0:1:15	305	53	--------	-9999	-9999	1	----	S2
0:1:16	330	122	--------	-9999	-9999	2	----	S2
0:1:17	320	100	--------	-9999	-9999	3	----	S2
0:1:18	316	31	--------	-9999	-9999	0	----	S2
0:1:19	-9999	-9999	--------	-9999	-9999	1	----	S2
0:1:20	313	3	--------	-9999	-9999	0	----	S2
0:1:21	333	55	--------	-9999	-9999	1	----	S2
0:1:22	333	56	--------	-9999	-9999	2	----	S2
0:1:23	-9999	-9999	--------	-9999	-9999	3	----	S2
0:2:0	-9999	-9999	--------	-9999	-9999	0	----	S2
0:2:1	-9999	-9999	--------	-9999	-9999	1	----	S2
0:2:2	-9999	-9999	--------	-9999	-9999	2	----	S2
0:2:3	-9999	-9999	--------	-9999	-9999	3	----	S2
0:2:4	390	80	--------	-9999	-9999	0	----	S2
0:2:5	-9999	-9999	--------	-9999	-9999	1	----	S2
0:2:6	-9999	-9999	--------	-9999	-9999	2	----	S2
0:2:7	388	7	--------	-9999	-9999	3	----	S2
0:2:8	377	44	--------	-9999	-9999	0	----	S2
0:2:9	-9999	-9999	--------	-9999	-9999	1	----	S2
0:2:10	384	71	--------	-9999	-9999	0	----	S2
0:2:11	383	60	--------	-9999	-9999	1	----	S2
0:2:12	382	76	--------	-9999	-9999	2	----	S2
0:2:13	-9999	-9999	--------	-9999	-9999	3	----	S2
0:2:14	-9999	-9999	--------	-9999	-9999	0	----	S2
0:2:15	408	54	--------	-9999	-9999	1	----	S2
0:2:16	-9999	-9999	--------	-9999	-9999	0	----	S2
0:2:17	435	31	--------	-9999	-9999	1	----	S2
0:2:18	450	17	--------	-9999	-9999	2	----	S2
0:2:19	448	31	--------	-9999	-9999	3	----	S2
0:2:20	-9999	-9999	--------	-9999	-9999	0	----	S2
0:2:21	-9999	-9999	--------	-9999	-9999	1	----	S2
0:2:22	484	51	--------	-9999	-9999	0	----	S2
