# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	271	760	--------	-9999	-9999	1	----	
0:0:14	274	760	--------	-9999	-9999	2	----	
0:0:15	279	758	--------	-9999	-9999	3	----	
0:0:16	281	753	Fixation	276.25	757.75	4	----	
0:0:17	282	749	Fixation	277.4	756	5	----	
0:0:18	277	742	Fixation	277.333	753.667	6	----	
0:0:19	282	744	Fixation	278	752.286	7	----	
0:0:20	285	739	Fixation	278.875	750.625	8	----	
0:0:21	696	210	--------	-9999	-9999	0	----	S1
0:0:22	695	200	--------	-9999	-9999	1	----	S1
0:0:23	695	207	--------	-9999	-9999	2	----	S1
0:1:0	693	207	--------	-9999	-9999	3	----	S1
0:1:1	694	227	Fixation	694.25	210.25	4	----	S1
0:1:2	-9999	-9999	--------	-9999	-9999	0	----	S1
0:1:3	753	289	--------	-9999	-9999	1	----	S1
0:1:4	770	257	--------	-9999	-9999	2	----	S1
0:1:5	763	249	--------	-9999	-9999	3	----	S1
0:1:6	754	232	Fixation	760	256.75	4	----	S1
0:1:7	751	227	Fixation	758.2	250.8	5	----	S1
0:1:8	748	226	--------	-9999	-9999	0	----	S1
0:1:9	748	224	--------	-9999	-9999	1	----	S1
0:1:10	747	219	--------	-9999	-9999	2	----	S1
0:1:11	746	217	--------	-9999	-9999	3	----	S1
0:1:12	728	215	Fixation	742.25	218.75	4	----	S1
0:1:13	605	203	--------	-9999	-9999	0	----	S1
0:1:14	607	204	--------	-9999	-9999	1	----	S1
0:1:15	616	195	--------	-9999	-9999	2	----	S1
0:1:16	624	206	--------	-9999	-9999	3	----	S1
0:1:17	-9999	-9999	--------	-9999	-9999	0	----	S1
0:1:18	698	278	--------	-9999	-9999	1	----	S1
0:1:19	712	247	--------	-9999	-9999	2	----	S1
0:1:20	730	232	--------	-9999	-9999	3	----	S1
0:1:21	723	215	Fixation	715.75	243	4	----	S1
0:1:22	717	212	--------	-9999	-9999	0	----	S1
0:1:23	716	207	--------	-9999	-9999	1	----	S1
0:2:0	702	205	--------	-9999	-9999	2	----	S1
0:2:1	736	214	--------	-9999	-9999	3	----	S1
0:2:2	729	211	Fixation	720.75	209.25	4	----	S1
0:2:3	719	209	Fixation	720.4	209.2	5	----	S1
0:2:4	710	205	Fixation	718.667	208.5	6	----	S1
0:2:5	692	205	Fixation	714.857	208	7	----	S1
0:2:6	685	209	Fixation	711.125	208.125	8	----	S1
0:2:7	682	207	Fixation	707.889	208	9	----	S1
0:2:8	682	207	Fixation	705.3	207.9	10	----	S1
0:2:9	700	214	Fixation	704.818	208.455	11	----	S1
0:2:10	782	212	--------	-9999	-9999	0	----	S1
0:2:11	782	221	--------	-9999	-9999	1	----	S1
0:2:12	786	216	--------	-9999	-9999	2	----	S1
0:2:13	783	207	--------	-9999	-9999	3	----	S1
0:2:14	773	212	Fixation	781	214	4	----	S1
0:2:15	782	204	Fixation	781.2	212	5	----	S1
0:2:16	786	211	Fixation	782	211.833	6	----	S1
0:2:17	794	209	Fixation	783.714	211.429	7	----	S1
0:2:18	793	210	Fixation	784.875	211.25	8	----	S1
0:2:19	786	204	Fixation	785	210.444	9	----	S1
0:2:20	771	199	Fixation	783.6	209.3	10	----	S1
0:2:21	775	194	Fixation	782.818	207.909	11	----	S1
0:2:22	776	203	Fixation	782.25	207.5	12	----	S1
0:2:23	826	201	--------	-9999	-9999	0	----	S1
0:3:0	836	206	--------	-9999	-9999	1	----	S1
0:3:1	844	206	--------	-9999	-9999	2	----	S1
0:3:2	838	196	--------	-9999	-9999	3	----	S1
0:3:3	848	197	Fixation	841.5	201.25	4	----	S1
0:3:4	889	197	Fixation	851	200.4	5	----	S1
0:3:5	904	199	--------	-9999	-9999	0	----	S1
0:3:6	896	199	--------	-9999	-9999	1	----	S1
0:3:7	879	199	--------	-9999	-9999	2	----	S1
0:3:8	855	201	--------	-9999	-9999	3	----	S1
0:3:9	841	186	Fixation	867.75	196.25	4	----	S1
0:3:10	836	198	Fixation	861.4	196.6	5	----	S1
0:3:11	836	198	Fixation	857.167	196.833	6	----	
0:3:12	877	207	Fixation	860	198.286	7	----	S1
0:3:13	905	216	--------	-9999	-9999	0	----	S1
0:3:14	898	219	--------	-9999	-9999	1	----	S1
0:3:15	906	210	--------	-9999	-9999	2	----	S1
0:3:16	903	213	--------	-9999	-9999	3	----	S1
0:3:17	928	209	Fixation	908.75	212.75	4	----	S1
0:3:18	941	209	Fixation	915.2	212	5	----	S1
0:3:19	951	212	Fixation	921.167	212	6	----	S1
0:3:20	1000	217	--------	-9999	-9999	0	----	S1
