# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	729	1226	--------	-9999	-9999	1	----	
0:0:14	729	1226	--------	-9999	-9999	2	----	
0:0:15	729	1219	--------	-9999	-9999	3	----	
0:0:16	738	1216	Fixation	731.25	1221.75	4	----	
0:0:17	322	222	--------	-9999	-9999	0	----	D1
0:0:18	323	210	--------	-9999	-9999	1	----	D1
0:0:19	317	207	--------	-9999	-9999	2	----	D1
0:0:20	323	218	--------	-9999	-9999	3	----	D1
0:0:21	328	202	Fixation	322.75	209.25	4	----	D1
0:0:22	327	210	Fixation	323.6	209.4	5	----	D1
0:0:23	323	197	Fixation	323.5	207.333	6	----	D1
0:1:0	326	205	Fixation	323.857	207	7	----	D1
0:1:1	333	224	Fixation	325	209.125	8	----	D1
0:1:2	328	202	Fixation	325.333	208.333	9	----	D1
0:1:3	324	207	Fixation	325.2	208.2	10	----	D1
0:1:4	292	218	Fixation	322.182	209.091	11	----	D1
0:1:5	290	214	Fixation	319.5	209.5	12	----	D1
0:1:6	226	224	--------	-9999	-9999	0	----	D1
0:1:7	227	231	--------	-9999	-9999	1	----	D1
0:1:8	238	223	--------	-9999	-9999	2	----	D1
0:1:9	230	805	--------	-9999	-9999	3	----	D1
0:1:10	237	826	--------	-9999	-9999	0	----	D1
0:1:11	241	807	--------	-9999	-9999	1	----	D1
0:1:12	228	801	--------	-9999	-9999	2	----	D1
0:1:13	224	787	--------	-9999	-9999	3	----	D1
0:1:14	218	794	Fixation	227.75	797.25	4	----	D1
0:1:15	177	1159	--------	-9999	-9999	0	----	D1
0:1:16	215	1471	--------	-9999	-9999	1	----	D1
0:1:17	214	1452	--------	-9999	-9999	2	----	D1
0:1:18	219	1441	--------	-9999	-9999	3	----	D1
0:1:19	225	1441	Fixation	218.25	1451.25	4	----	D1
0:1:20	224	1452	Fixation	219.4	1451.4	5	----	D1
0:1:21	231	1436	Fixation	221.333	1448.83	6	----	D1
0:1:22	225	1457	Fixation	221.857	1450	7	----	D1
0:1:23	223	1438	Fixation	222	1448.5	8	----	D1
0:2:0	2	1592	--------	-9999	-9999	0	----	D1
0:2:1	-9999	-9999	--------	-9999	-9999	1	----	D1
0:2:2	-9999	-9999	--------	-9999	-9999	2	----	D1
0:2:3	-9999	-9999	--------	-9999	-9999	3	----	D1
0:2:4	-9999	-9999	Fixation	-9999	-9999	4	----	D1
0:2:5	-9999	-9999	Fixation	-9999	-9999	5	----	D1
0:2:6	-9999	-9999	Fixation	-9999	-9999	6	----	D1
0:2:7	-9999	-9999	Fixation	-9999	-9999	7	----	D1
0:2:8	-9999	-9999	Fixation	-9999	-9999	8	----	D1
0:2:9	-9999	-9999	Fixation	-9999	-9999	9	----	D1
0:2:10	-9999	-9999	Fixation	-9999	-9999	10	----	D1
0:2:11	-9999	-9999	Fixation	-9999	-9999	11	----	D1
0:2:12	-9999	-9999	Fixation	-9999	-9999	12	----	D1
0:2:13	-9999	-9999	Fixation	-9999	-9999	13	----	D1
0:2:14	-9999	-9999	Fixation	-9999	-9999	14	----	D1
0:2:15	-9999	-9999	Fixation	-9999	-9999	15	----	D1
0:2:16	-9999	-9999	Fixation	-9999	-9999	16	----	D1
0:2:17	-9999	-9999	Fixation	-9999	-9999	17	----	D1
0:2:18	-9999	-9999	Fixation	-9999	-9999	18	----	D1
0:2:19	-9999	-9999	Fixation	-9999	-9999	19	----	D1
0:2:20	-9999	-9999	Fixation	-9999	-9999	20	----	D1
0:2:21	-9999	-9999	Fixation	-9999	-9999	21	----	D1
0:2:22	-9999	-9999	Fixation	-9999	-9999	22	----	D1
0:2:23	-9999	-9999	Fixation	-9999	-9999	23	----	D1
0:3:0	-9999	-9999	Fixation	-9999	-9999	24	----	D1
0:3:1	-9999	-9999	Fixation	-9999	-9999	25	----	D1
0:3:2	-9999	-9999	Fixation	-9999	-9999	26	----	D1
0:3:3	-9999	-9999	Fixation	-9999	-9999	27	----	D1
0:3:4	-9999	-9999	Fixation	-9999	-9999	28	----	D1
0:3:5	-9999	-9999	Fixation	-9999	-9999	29	----	D1
0:3:6	-9999	-9999	Fixation	-9999	-9999	30	----	D1
0:3:7	-9999	-9999	Fixation	-9999	-9999	31	----	D1
0:3:8	28	1145	--------	-9999	-9999	0	----	D1
0:3:9	36	1129	--------	-9999	-9999	1	----	D1
0:3:10	37	1129	--------	-9999	-9999	2	----	D1
0:3:11	41	1122	--------	-9999	-9999	3	----	D1
0:3:12	48	1135	Fixation	40.5	1128.75	4	----	D1
0:3:13	57	1116	Fixation	43.8	1126.2	5	----	D1
0:3:14	67	1118	Fixation	47.6667	1124.83	6	----	D1
0:3:15	279	1116	--------	-9999	-9999	0	----	D1
0:3:16	297	1077	--------	-9999	-9999	1	----	D1
0:3:17	293	1082	--------	-9999	-9999	2	----	D1
0:3:18	294	1086	--------	-9999	-9999	3	----	D1
0:3:19	292	1073	Fixation	294	1079.5	4	----	D1
0:3:20	292	1061	Fixation	293.6	1075.8	5	----	D1
0:3:21	297	1080	Fixation	294.167	1076.5	6	----	D1
0:3:22	293	1075	Fixation	294	1076.29	7	----	D1
0:3:23	288	1074	Fixation	293.25	1076	8	----	D1
0:4:0	282	1045	Fixation	292	1072.56	9	----	D1
0:4:1	277	966	--------	-9999	-9999	0	----	D1
0:4:2	277	966	--------	-9999	-9999	1	----	D1
0:4:3	268	959	--------	-9999	-9999	2	----	D1
0:4:4	273	958	--------	-9999	-9999	3	----	D1
0:4:5	260	919	Fixation	269.5	950.5	4	----	D1
0:4:6	255	931	Fixation	266.6	946.6	5	----	D1
0:4:7	262	923	Fixation	265.833	942.667	6	----	D1
0:4:8	262	923	Fixation	265.286	939.857	7	----	D1
0:4:9	255	920	Fixation	264	937.375	8	----	D1
0:4:10	258	912	Fixation	263.333	934.556	9	----	D1
0:4:11	254	911	Fixation	262.4	932.2	10	----	D1
0:4:12	197	693	--------	-9999	-9999	0	----	D1
0:4:13	184	481	--------	-9999	-9999	1	----	D1
0:4:14	187	487	--------	-9999	-9999	2	----	D1
0:4:15	193	485	--------	-9999	-9999	3	----	D1
0:4:16	198	483	Fixation	190.5	484	4	----	D1
0:4:17	207	482	Fixation	193.8	483.6	5	----	D1
0:4:18	222	392	--------	-9999	-9999	0	----	D1
0:4:19	221	387	--------	-9999	-9999	1	----	D1
0:4:20	221	377	--------	-9999	-9999	2	----	D1
0:4:21	213	365	--------	-9999	-9999	3	----	D1
0:4:22	212	352	Fixation	216.75	370.25	4	----	D1
0:4:23	212	361	Fixation	215.8	368.4	5	----	D1
0:5:0	220	353	Fixation	216.5	365.833	6	----	D1
0:5:1	211	350	Fixation	215.714	363.571	7	----	D1
0:5:2	219	360	Fixation	216.125	363.125	8	----	D1
0:5:3	216	355	Fixation	216.111	362.222	9	----	D1
0:5:4	218	366	Fixation	216.3	362.6	10	----	D1
0:5:5	337	563	--------	-9999	-9999	0	----	D1
0:5:6	358	658	--------	-9999	-9999	1	----	D1
0:5:7	360	651	--------	-9999	-9999	2	----	D1
0:5:8	359	649	--------	-9999	-9999	3	----	D1
0:5:9	361	647	Fixation	359.5	651.25	4	----	D1
0:5:10	355	640	Fixation	358.6	649	5	----	D1
0:5:11	361	624	Fixation	359	644.833	6	----	D1
0:5:12	380	772	--------	-9999	-9999	0	----	D1
0:5:13	380	772	--------	-9999	-9999	1	----	D1
0:5:14	-9999	-9999	--------	-9999	-9999	0	----	D1
0:5:15	-9999	-9999	--------	-9999	-9999	1	----	D1
0:5:16	-9999	-9999	--------	-9999	-9999	2	----	D1
0:5:17	-9999	-9999	--------	-9999	-9999	3	----	D1
0:5:18	-9999	-9999	Fixation	-9999	-9999	4	----	
0:5:19	-9999	-9999	Fixation	-9999	-9999	5	----	D1
0:5:20	300	401	--------	-9999	-9999	0	----	D1
0:5:21	305	421	--------	-9999	-9999	1	----	D1
0:5:22	302	442	--------	-9999	-9999	2	----	D1
0:5:23	309	460	--------	-9999	-9999	3	----	
0:6:0	312	439	Fixation	307	440.5	4	----	D1
0:6:1	276	299	--------	-9999	-9999	0	----	D1
0:6:2	269	296	--------	-9999	-9999	1	----	D1
0:6:3	269	280	--------	-9999	-9999	2	----	D1
