# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	491	890	--------	-9999	-9999	1	----	
0:0:14	508	747	--------	-9999	-9999	0	----	
0:0:15	492	877	--------	-9999	-9999	1	----	
0:0:16	402	1244	--------	-9999	-9999	0	----	
0:0:17	447	897	--------	-9999	-9999	1	----	
0:0:18	497	1205	--------	-9999	-9999	0	----	
0:0:19	497	1205	--------	-9999	-9999	1	----	
0:0:20	691	814	--------	-9999	-9999	0	----	D2
0:0:21	480	954	--------	-9999	-9999	1	----	
0:0:22	642	815	--------	-9999	-9999	0	----	
0:0:23	573	954	--------	-9999	-9999	1	----	D2
0:1:0	799	865	--------	-9999	-9999	0	----	
0:1:1	791	864	--------	-9999	-9999	1	----	D2
0:1:2	799	865	--------	-9999	-9999	2	----	
0:1:3	675	893	--------	-9999	-9999	3	----	D2
0:1:4	778	830	--------	-9999	-9999	0	----	D2
0:1:5	778	830	--------	-9999	-9999	1	----	D2
0:1:6	754	847	--------	-9999	-9999	2	----	D2
0:1:7	786	841	--------	-9999	-9999	3	----	D2
0:1:8	786	841	Fixation	776	839.75	4	----	D2
0:1:9	893	934	--------	-9999	-9999	0	----	D2
0:1:10	898	913	--------	-9999	-9999	1	----	D2
0:1:11	968	875	--------	-9999	-9999	2	----	D2
0:1:12	509	247	--------	-9999	-9999	3	----	D2
0:1:13	591	203	--------	-9999	-9999	0	----	D2
0:1:14	600	235	--------	-9999	-9999	1	----	D2
0:1:15	596	229	--------	-9999	-9999	2	----	
0:1:16	598	227	--------	-9999	-9999	3	----	D2
0:1:17	592	225	Fixation	596.5	229	4	----	D2
0:1:18	592	225	Fixation	595.6	228.2	5	----	D2
0:1:19	815	259	--------	-9999	-9999	0	----	
0:1:20	863	261	--------	-9999	-9999	1	----	D2
0:1:21	865	269	--------	-9999	-9999	2	----	
0:1:22	716	201	--------	-9999	-9999	3	----	D2
0:1:23	811	257	--------	-9999	-9999	0	----	
0:2:0	959	254	--------	-9999	-9999	1	----	D2
0:2:1	979	262	--------	-9999	-9999	2	----	D2
0:2:2	967	347	--------	-9999	-9999	3	----	D2
0:2:3	759	248	--------	-9999	-9999	0	----	D2
0:2:4	-9999	-9999	--------	-9999	-9999	1	----	D2
0:2:5	1053	352	--------	-9999	-9999	0	----	D2
0:2:6	1009	386	--------	-9999	-9999	1	----	
0:2:7	918	144	--------	-9999	-9999	0	----	D2
0:2:8	1076	293	--------	-9999	-9999	1	----	D2
0:2:9	1085	253	--------	-9999	-9999	2	----	D2
0:2:10	907	117	--------	-9999	-9999	3	----	D2
0:2:11	1131	256	--------	-9999	-9999	0	----	D2
0:2:12	1030	152	--------	-9999	-9999	1	----	D2
0:2:13	1224	297	--------	-9999	-9999	0	----	D2
0:2:14	1107	270	--------	-9999	-9999	1	----	D2
0:2:15	1153	308	--------	-9999	-9999	2	----	D2
0:2:16	1026	161	--------	-9999	-9999	3	----	D2
0:2:17	1166	306	--------	-9999	-9999	0	----	D2
0:2:18	1009	169	--------	-9999	-9999	1	----	D2
0:2:19	988	116	--------	-9999	-9999	2	----	D2
0:2:20	1005	149	--------	-9999	-9999	3	----	D2
0:2:21	923	138	--------	-9999	-9999	0	----	D2
0:2:22	959	131	--------	-9999	-9999	1	----	D2
0:2:23	1161	344	--------	-9999	-9999	0	----	D2
0:3:0	921	146	--------	-9999	-9999	1	----	D2
0:3:1	980	126	--------	-9999	-9999	2	----	D2
0:3:2	1196	319	--------	-9999	-9999	3	----	D2
0:3:3	984	141	--------	-9999	-9999	0	----	D2
0:3:4	1201	306	--------	-9999	-9999	1	----	D2
0:3:5	1201	306	--------	-9999	-9999	2	----	D2
0:3:6	1102	142	--------	-9999	-9999	3	----	D2
0:3:7	1186	310	--------	-9999	-9999	0	----	D2
0:3:8	982	129	--------	-9999	-9999	1	----	D2
0:3:9	1087	296	--------	-9999	-9999	0	----	D2
0:3:10	1183	314	--------	-9999	-9999	1	----	D2
0:3:11	1149	285	--------	-9999	-9999	2	----	D2
0:3:12	1183	309	--------	-9999	-9999	3	----	D2
0:3:13	1294	318	--------	-9999	-9999	0	----	D2
0:3:14	1285	332	--------	-9999	-9999	1	----	D2
0:3:15	1313	313	--------	-9999	-9999	2	----	D2
0:3:16	1236	165	--------	-9999	-9999	3	----	D2
0:3:17	1470	338	--------	-9999	-9999	0	----	D2
0:3:18	1166	63	--------	-9999	-9999	1	----	D2
0:3:19	1425	331	--------	-9999	-9999	0	----	D2
0:3:20	1445	298	--------	-9999	-9999	1	----	D2
0:3:21	1247	111	--------	-9999	-9999	0	----	D2
0:3:22	1567	338	--------	-9999	-9999	1	----	D2
0:3:23	1289	88	--------	-9999	-9999	0	----	D2
0:4:0	1352	131	--------	-9999	-9999	1	----	D2
0:4:1	1534	315	--------	-9999	-9999	0	----	D2
0:4:2	1490	339	--------	-9999	-9999	1	----	D2
0:4:3	1482	313	--------	-9999	-9999	2	----	D2
0:4:4	1320	391	--------	-9999	-9999	3	----	D2
0:4:5	1238	86	--------	-9999	-9999	0	----	D2
0:4:6	1249	101	--------	-9999	-9999	1	----	D2
0:4:7	1250	95	--------	-9999	-9999	2	----	D2
0:4:8	1250	106	--------	-9999	-9999	3	----	D2
0:4:9	898	309	--------	-9999	-9999	0	----	D2
0:4:10	288	563	--------	-9999	-9999	1	----	D2
0:4:11	296	540	--------	-9999	-9999	2	----	D2
0:4:12	291	523	--------	-9999	-9999	3	----	D2
0:4:13	311	522	Fixation	296.5	537	4	----	D2
0:4:14	297	518	Fixation	296.6	533.2	5	----	D2
0:4:15	12	415	--------	-9999	-9999	0	----	D2
0:4:16	271	549	--------	-9999	-9999	1	----	D2
0:4:17	134	251	--------	-9999	-9999	0	----	D2
0:4:18	306	558	--------	-9999	-9999	1	----	D2
0:4:19	361	555	--------	-9999	-9999	2	----	D2
0:4:20	350	535	--------	-9999	-9999	3	----	D2
0:4:21	331	493	--------	-9999	-9999	0	----	D2
0:4:22	320	495	--------	-9999	-9999	1	----	D2
0:4:23	327	505	--------	-9999	-9999	2	----	D2
0:5:0	332	497	--------	-9999	-9999	3	----	D2
0:5:1	228	257	--------	-9999	-9999	0	----	D2
0:5:2	467	508	--------	-9999	-9999	1	----	D2
0:5:3	430	247	--------	-9999	-9999	0	----	D2
0:5:4	465	496	--------	-9999	-9999	1	----	D2
0:5:5	264	323	--------	-9999	-9999	0	----	D2
0:5:6	132	443	--------	-9999	-9999	1	----	D2
0:5:7	351	343	--------	-9999	-9999	0	----	D2
0:5:8	411	282	--------	-9999	-9999	1	----	D2
0:5:9	384	241	--------	-9999	-9999	2	----	D2
0:5:10	445	231	--------	-9999	-9999	3	----	D2
0:5:11	423	232	Fixation	415.75	246.5	4	----	D2
0:5:12	434	221	--------	-9999	-9999	0	----	D2
0:5:13	465	255	--------	-9999	-9999	1	----	D2
0:5:14	413	220	--------	-9999	-9999	2	----	D2
0:5:15	32	730	--------	-9999	-9999	3	----	D2
0:5:16	222	552	--------	-9999	-9999	0	----	D2
0:5:17	216	525	--------	-9999	-9999	1	----	D2
0:5:18	220	542	--------	-9999	-9999	2	----	D2
0:5:19	220	542	--------	-9999	-9999	3	----	D2
0:5:20	109	401	--------	-9999	-9999	0	----	D2
0:5:21	90	434	--------	-9999	-9999	1	----	D2
0:5:22	-9999	-9999	--------	-9999	-9999	0	----	D2
0:5:23	208	293	--------	-9999	-9999	1	----	D2
0:6:0	183	288	--------	-9999	-9999	2	----	D2
0:6:1	267	533	--------	-9999	-9999	3	----	D2
0:6:2	227	278	--------	-9999	-9999	0	----	D2
0:6:3	264	505	--------	-9999	-9999	1	----	D2
0:6:4	32	348	--------	-9999	-9999	0	----	D2
0:6:5	32	348	--------	-9999	-9999	1	----	D2
0:6:6	264	256	--------	-9999	-9999	0	----	D2
0:6:7	315	493	--------	-9999	-9999	1	----	D2
0:6:8	114	336	--------	-9999	-9999	0	----	D2
0:6:9	322	232	--------	-9999	-9999	1	----	D2
0:6:10	276	231	--------	-9999	-9999	2	----	D2
0:6:11	320	268	--------	-9999	-9999	3	----	D2
0:6:12	317	228	Fixation	308.75	239.75	4	----	D2
0:6:13	277	230	Fixation	302.4	237.8	5	----	D2
0:6:14	306	252	Fixation	303	240.167	6	----	D2
0:6:15	366	549	--------	-9999	-9999	0	----	D2
0:6:16	353	241	--------	-9999	-9999	1	----	D2
0:6:17	489	260	--------	-9999	-9999	0	----	D2
0:6:18	498	247	--------	-9999	-9999	1	----	
0:6:19	412	221	--------	-9999	-9999	0	----	D2
0:6:20	453	259	--------	-9999	-9999	1	----	D2
0:6:21	427	189	--------	-9999	-9999	2	----	D2
0:6:22	378	262	--------	-9999	-9999	3	----	D2
0:6:23	50	677	--------	-9999	-9999	0	----	D2
0:7:0	12	736	--------	-9999	-9999	1	----	D2
0:7:1	-9999	-9999	--------	-9999	-9999	0	----	D2
0:7:2	162	506	--------	-9999	-9999	1	----	D2
0:7:3	220	578	--------	-9999	-9999	0	----	D2
0:7:4	30	434	--------	-9999	-9999	1	----	D2
0:7:5	188	521	--------	-9999	-9999	0	----	D2
0:7:6	-9999	-9999	--------	-9999	-9999	1	----	D2
0:7:7	-9999	-9999	--------	-9999	-9999	2	----	D2
0:7:8	77	347	--------	-9999	-9999	3	----	
0:7:9	243	251	--------	-9999	-9999	0	----	D2
0:7:10	252	257	--------	-9999	-9999	1	----	D2
0:7:11	261	259	--------	-9999	-9999	2	----	D2
0:7:12	78	343	--------	-9999	-9999	3	----	D2
0:7:13	70	341	--------	-9999	-9999	0	----	D2
0:7:14	411	235	--------	-9999	-9999	1	----	D2
0:7:15	356	277	--------	-9999	-9999	2	----	D2
0:7:16	380	220	--------	-9999	-9999	3	----	D2
0:7:17	249	358	--------	-9999	-9999	0	----	D2
0:7:18	243	356	--------	-9999	-9999	1	----	D2
0:7:19	189	308	--------	-9999	-9999	2	----	D2
0:7:20	344	272	--------	-9999	-9999	3	----	D2
0:7:21	-9999	-9999	--------	-9999	-9999	0	----	D2
