# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	147	498	--------	-9999	-9999	1	----	
0:0:14	138	507	--------	-9999	-9999	2	----	
0:0:15	138	507	--------	-9999	-9999	3	----	
0:0:16	138	505	Fixation	140.25	504.25	4	----	
0:0:17	141	502	Fixation	140.4	503.8	5	----	
0:0:18	135	507	Fixation	139.5	504.333	6	----	
0:0:19	138	505	Fixation	139.286	504.429	7	----	
0:0:20	144	495	Fixation	139.875	503.25	8	----	
0:0:21	155	501	Fixation	141.556	503	9	----	
0:0:22	499	172	--------	-9999	-9999	0	----	S1
0:0:23	498	179	--------	-9999	-9999	1	----	S1
0:1:0	501	172	--------	-9999	-9999	2	----	S1
0:1:1	502	169	--------	-9999	-9999	3	----	S1
0:1:2	508	163	Fixation	502.25	170.75	4	----	S1
0:1:3	517	158	Fixation	505.2	168.2	5	----	S1
0:1:4	515	150	Fixation	506.833	165.167	6	----	S1
0:1:5	510	148	Fixation	507.286	162.714	7	----	S1
0:1:6	513	157	Fixation	508	162	8	----	S1
0:1:7	487	160	Fixation	505.667	161.778	9	----	S1
0:1:8	478	161	Fixation	502.9	161.7	10	----	S1
0:1:9	465	159	Fixation	499.455	161.455	11	----	S1
0:1:10	465	159	Fixation	496.583	161.25	12	----	S1
0:1:11	527	150	Fixation	498.923	160.385	13	----	S1
0:1:12	529	153	Fixation	501.071	159.857	14	----	S1
0:1:13	542	158	Fixation	503.8	159.733	15	----	S1
0:1:14	552	168	--------	-9999	-9999	0	----	S1
0:1:15	559	167	--------	-9999	-9999	1	----	S1
0:1:16	546	161	--------	-9999	-9999	2	----	S1
0:1:17	549	161	--------	-9999	-9999	3	----	S1
0:1:18	560	168	Fixation	553.5	164.25	4	----	S1
0:1:19	573	169	Fixation	557.4	165.2	5	----	S1
0:1:20	584	181	Fixation	561.833	167.833	6	----	S1
0:1:21	581	178	Fixation	564.571	169.286	7	----	S1
0:1:22	564	177	Fixation	564.5	170.25	8	----	S1
0:1:23	559	167	Fixation	563.889	169.889	9	----	S1
0:2:0	830	364	--------	-9999	-9999	0	----	S1
0:2:1	1695	837	--------	-9999	-9999	1	----	S1
0:2:2	2264	1027	--------	-9999	-9999	0	----	S1
0:2:3	-9999	-9999	--------	-9999	-9999	1	----	S1
0:2:4	-9999	-9999	--------	-9999	-9999	2	----	S1
0:2:5	-9999	-9999	--------	-9999	-9999	3	----	S1
0:2:6	-9999	-9999	Fixation	-9999	-9999	4	----	S1
0:2:7	-9999	-9999	Fixation	-9999	-9999	5	----	S1
0:2:8	-9999	-9999	Fixation	-9999	-9999	6	----	S1
0:2:9	-9999	-9999	Fixation	-9999	-9999	7	----	S1
0:2:10	-9999	-9999	Fixation	-9999	-9999	8	----	S1
0:2:11	-9999	-9999	Fixation	-9999	-9999	9	----	S1
0:2:12	-9999	-9999	Fixation	-9999	-9999	10	----	S1
0:2:13	-9999	-9999	Fixation	-9999	-9999	11	----	S1
0:2:14	-9999	-9999	Fixation	-9999	-9999	12	----	S1
0:2:15	-9999	-9999	Fixation	-9999	-9999	13	----	S1
0:2:16	1892	940	--------	-9999	-9999	0	----	S1
0:2:17	1133	560	--------	-9999	-9999	1	----	S1
0:2:18	1133	561	--------	-9999	-9999	2	----	S1
0:2:19	602	343	--------	-9999	-9999	3	----	S1
0:2:20	594	304	--------	-9999	-9999	0	----	S1
0:2:21	601	279	--------	-9999	-9999	1	----	S1
0:2:22	598	271	--------	-9999	-9999	2	----	S1
0:2:23	600	237	--------	-9999	-9999	3	----	S1
0:3:0	591	229	Fixation	597.5	254	4	----	S1
0:3:1	596	220	Fixation	597.2	247.2	5	----	S1
0:3:2	642	230	Fixation	604.667	244.333	6	----	S1
0:3:3	625	225	Fixation	607.571	241.571	7	----	S1
0:3:4	621	219	--------	-9999	-9999	0	----	S1
0:3:5	615	219	--------	-9999	-9999	1	----	S1
0:3:6	-9999	-9999	--------	-9999	-9999	0	----	S1
0:3:7	-9999	-9999	--------	-9999	-9999	1	----	S1
0:3:8	668	300	--------	-9999	-9999	0	----	S1
0:3:9	653	275	--------	-9999	-9999	1	----	S1
0:3:10	658	255	--------	-9999	-9999	2	----	S1
0:3:11	658	253	--------	-9999	-9999	3	----	S1
0:3:12	668	236	Fixation	659.25	254.75	4	----	S1
0:3:13	670	228	Fixation	661.4	249.4	5	----	S1
0:3:14	666	215	Fixation	662.167	243.667	6	----	S1
0:3:15	676	208	Fixation	664.143	238.571	7	----	S1
0:3:16	676	208	--------	-9999	-9999	0	----	S1
0:3:17	685	215	--------	-9999	-9999	1	----	S1
0:3:18	682	210	--------	-9999	-9999	2	----	S1
0:3:19	676	201	--------	-9999	-9999	3	----	S1
0:3:20	685	209	Fixation	682	208.75	4	----	S1
0:3:21	661	244	Fixation	677.8	215.8	5	----	S1
0:3:22	637	230	Fixation	671	218.167	6	----	S1
0:3:23	647	225	Fixation	667.571	219.143	7	----	S1
0:4:0	-9999	-9999	--------	-9999	-9999	0	----	S1
0:4:1	-9999	-9999	--------	-9999	-9999	1	----	S1
0:4:2	-9999	-9999	--------	-9999	-9999	2	----	S1
0:4:3	677	217	--------	-9999	-9999	3	----	S1
0:4:4	-9999	-9999	--------	-9999	-9999	0	----	S1
0:4:5	647	197	--------	-9999	-9999	1	----	S1
0:4:6	478	191	--------	-9999	-9999	0	----	S1
0:4:7	484	201	--------	-9999	-9999	1	----	S1
0:4:8	345	212	--------	-9999	-9999	0	----	S1
0:4:9	338	223	--------	-9999	-9999	1	----	S1
0:4:10	302	213	--------	-9999	-9999	2	----	S1
0:4:11	282	205	--------	-9999	-9999	3	----	S1
0:4:12	177	199	--------	-9999	-9999	0	----	S1
0:4:13	174	181	--------	-9999	-9999	1	----	S1
0:4:14	175	161	--------	-9999	-9999	2	----	S1
0:4:15	177	155	--------	-9999	-9999	3	----	S1
0:4:16	177	149	Fixation	175.75	161.5	4	----	S1
0:4:17	179	156	Fixation	176.4	160.4	5	----	S1
0:4:18	180	154	Fixation	177	159.333	6	----	S1
0:4:19	263	161	--------	-9999	-9999	0	----	S1
0:4:20	278	160	--------	-9999	-9999	1	----	S1
0:4:21	285	156	--------	-9999	-9999	2	----	S1
0:4:22	273	150	--------	-9999	-9999	3	----	S1
0:4:23	272	152	Fixation	277	154.5	4	----	S1
0:5:0	258	154	Fixation	273.2	154.4	5	----	S1
0:5:1	253	160	Fixation	269.833	155.333	6	----	S1
0:5:2	253	153	Fixation	267.429	155	7	----	S1
0:5:3	250	161	Fixation	265.25	155.75	8	----	S1
0:5:4	250	161	Fixation	263.556	156.333	9	----	S1
0:5:5	253	148	Fixation	262.5	155.5	10	----	S1
0:5:6	260	148	Fixation	262.273	154.818	11	----	S1
0:5:7	262	160	Fixation	262.25	155.25	12	----	S1
0:5:8	264	157	Fixation	262.385	155.385	13	----	S1
0:5:9	274	160	Fixation	263.214	155.714	14	----	S1
0:5:10	273	159	Fixation	263.867	155.933	15	----	S1
0:5:11	279	162	Fixation	264.813	156.313	16	----	S1
0:5:12	279	165	Fixation	265.647	156.824	17	----	S1
0:5:13	276	157	Fixation	266.222	156.833	18	----	S1
0:5:14	286	166	Fixation	267.263	157.316	19	----	S1
0:5:15	392	177	--------	-9999	-9999	0	----	S1
0:5:16	387	176	--------	-9999	-9999	1	----	S1
0:5:17	382	181	--------	-9999	-9999	2	----	S1
0:5:18	380	192	--------	-9999	-9999	3	----	S1
0:5:19	382	180	Fixation	382.75	182.25	4	----	S1
0:5:20	374	181	Fixation	381	182	5	----	S1
0:5:21	382	178	Fixation	381.167	181.333	6	----	S1
0:5:22	382	180	Fixation	381.286	181.143	7	----	S1
0:5:23	377	186	Fixation	380.75	181.75	8	----	S1
0:6:0	382	186	Fixation	380.889	182.222	9	----	S1
0:6:1	411	188	Fixation	383.9	182.8	10	----	S1
0:6:2	404	184	Fixation	385.727	182.909	11	----	S1
0:6:3	411	178	Fixation	387.833	182.5	12	----	S1
0:6:4	409	183	Fixation	389.462	182.538	13	----	S1
0:6:5	406	175	Fixation	390.643	182	14	----	S1
0:6:6	407	175	Fixation	391.733	181.533	15	----	S1
0:6:7	472	180	--------	-9999	-9999	0	----	S1
0:6:8	472	169	--------	-9999	-9999	1	----	S1
0:6:9	480	168	--------	-9999	-9999	2	----	S1
0:6:10	466	165	--------	-9999	-9999	3	----	S1
0:6:11	471	165	Fixation	472.25	166.75	4	----	S1
0:6:12	469	167	Fixation	471.6	166.8	5	----	S1
0:6:13	468	163	Fixation	471	166.167	6	----	S1
0:6:14	480	165	Fixation	472.286	166	7	----	S1
0:6:15	478	164	Fixation	473	165.75	8	----	S1
0:6:16	481	164	Fixation	473.889	165.556	9	----	S1
0:6:17	571	161	--------	-9999	-9999	0	----	S1
0:6:18	572	167	--------	-9999	-9999	1	----	S1
0:6:19	572	165	--------	-9999	-9999	2	----	S1
0:6:20	574	169	--------	-9999	-9999	3	----	S1
0:6:21	575	167	Fixation	573.25	167	4	----	S1
0:6:22	575	158	Fixation	573.6	165.2	5	----	S1
0:6:23	579	156	Fixation	574.5	163.667	6	----	S1
0:7:0	581	160	Fixation	575.429	163.143	7	----	S1
0:7:1	673	164	--------	-9999	-9999	0	----	S1
0:7:2	683	155	--------	-9999	-9999	1	----	S1
0:7:3	684	153	--------	-9999	-9999	2	----	S1
0:7:4	687	158	--------	-9999	-9999	3	----	S1
0:7:5	685	155	Fixation	684.75	155.25	4	----	S1
0:7:6	684	161	Fixation	684.6	156.4	5	----	S1
0:7:7	677	152	Fixation	683.333	155.667	6	----	S1
0:7:8	679	157	Fixation	682.714	155.857	7	----	S1
0:7:9	777	166	--------	-9999	-9999	0	----	S1
0:7:10	776	162	--------	-9999	-9999	1	----	S1
0:7:11	770	166	--------	-9999	-9999	2	----	S1
0:7:12	798	173	--------	-9999	-9999	3	----	S1
0:7:13	948	183	--------	-9999	-9999	0	----	S1
0:7:14	946	176	--------	-9999	-9999	1	----	S1
0:7:15	946	168	--------	-9999	-9999	2	----	S1
0:7:16	952	179	--------	-9999	-9999	3	----	S1
0:7:17	948	182	Fixation	948	176.25	4	----	S1
0:7:18	947	177	Fixation	947.8	176.4	5	----	S1
0:7:19	947	178	Fixation	947.667	176.667	6	----	S1
0:7:20	949	184	Fixation	947.857	177.714	7	----	S1
0:7:21	1148	193	--------	-9999	-9999	0	----	S1
0:7:22	1164	196	--------	-9999	-9999	1	----	S1
0:7:23	1166	185	--------	-9999	-9999	2	----	S1
0:8:0	1160	188	--------	-9999	-9999	3	----	S1
0:8:1	1253	191	--------	-9999	-9999	0	----	S1
0:8:2	1253	188	--------	-9999	-9999	1	----	S1
0:8:3	1253	189	--------	-9999	-9999	2	----	S1
0:8:4	1262	185	--------	-9999	-9999	3	----	S1
0:8:5	1200	180	--------	-9999	-9999	0	----	S1
0:8:6	533	211	--------	-9999	-9999	1	----	S1
0:8:7	272	222	--------	-9999	-9999	0	----	S1
0:8:8	273	208	--------	-9999	-9999	1	----	S1
0:8:9	277	198	--------	-9999	-9999	2	----	S1
0:8:10	245	210	--------	-9999	-9999	3	----	S1
0:8:11	204	216	--------	-9999	-9999	0	----	S1
0:8:12	211	207	--------	-9999	-9999	1	----	S1
0:8:13	208	209	--------	-9999	-9999	2	----	S1
0:8:14	209	213	--------	-9999	-9999	3	----	S1
0:8:15	212	210	Fixation	210	209.75	4	----	S1
0:8:16	214	210	Fixation	210.8	209.8	5	----	S1
0:8:17	223	209	Fixation	212.833	209.667	6	----	S1
0:8:18	269	211	--------	-9999	-9999	0	----	S1
0:8:19	259	208	--------	-9999	-9999	1	----	S1
0:8:20	262	215	--------	-9999	-9999	2	----	S1
0:8:21	252	218	--------	-9999	-9999	3	----	S1
0:8:22	243	228	Fixation	254	217.25	4	----	S1
0:8:23	244	226	Fixation	252	219	5	----	S1
0:9:0	248	227	Fixation	251.333	220.333	6	----	S1
0:9:1	242	226	Fixation	250	221.143	7	----	S1
0:9:2	242	218	Fixation	249	220.75	8	----	S1
0:9:3	235	230	Fixation	247.444	221.778	9	----	S1
0:9:4	355	242	--------	-9999	-9999	0	----	S1
0:9:5	350	249	--------	-9999	-9999	1	----	S1
0:9:6	350	234	--------	-9999	-9999	2	----	S1
0:9:7	351	233	--------	-9999	-9999	3	----	S1
0:9:8	351	233	Fixation	350.5	237.25	4	----	S1
0:9:9	348	233	Fixation	350	236.4	5	----	S1
0:9:10	354	232	Fixation	350.667	235.667	6	----	S1
0:9:11	348	229	Fixation	350.286	234.714	7	----	S1
0:9:12	349	225	Fixation	350.125	233.5	8	----	S1
0:9:13	465	230	--------	-9999	-9999	0	----	S1
0:9:14	462	231	--------	-9999	-9999	1	----	S1
0:9:15	461	232	--------	-9999	-9999	2	----	S1
0:9:16	464	229	--------	-9999	-9999	3	----	S1
0:9:17	504	238	Fixation	472.75	232.5	4	----	S1
0:9:18	502	235	Fixation	478.6	233	5	----	S1
0:9:19	504	233	Fixation	482.833	233	6	----	S1
0:9:20	506	229	Fixation	486.143	232.429	7	----	S1
0:9:21	505	231	Fixation	488.5	232.25	8	----	S1
0:9:22	504	225	Fixation	490.222	231.444	9	----	S1
0:9:23	502	227	Fixation	491.4	231	10	----	S1
0:10:0	629	234	--------	-9999	-9999	0	----	S1
0:10:1	626	234	--------	-9999	-9999	1	----	S1
0:10:2	625	231	--------	-9999	-9999	2	----	S1
0:10:3	625	232	--------	-9999	-9999	3	----	S1
0:10:4	631	236	Fixation	626.75	233.25	4	----	S1
0:10:5	633	231	Fixation	628	232.8	5	----	S1
0:10:6	635	232	Fixation	629.167	232.667	6	----	S1
0:10:7	634	226	Fixation	629.857	231.714	7	----	S1
0:10:8	730	233	--------	-9999	-9999	0	----	S1
0:10:9	731	224	--------	-9999	-9999	1	----	S1
0:10:10	733	227	--------	-9999	-9999	2	----	S1
0:10:11	731	232	--------	-9999	-9999	3	----	S1
0:10:12	724	224	Fixation	729.75	226.75	4	----	S1
0:10:13	725	224	Fixation	728.8	226.2	5	----	S1
0:10:14	728	221	Fixation	728.667	225.333	6	----	S1
0:10:15	864	235	--------	-9999	-9999	0	----	S1
0:10:16	862	238	--------	-9999	-9999	1	----	S1
0:10:17	858	229	--------	-9999	-9999	2	----	S1
0:10:18	859	234	--------	-9999	-9999	3	----	S1
0:10:19	861	234	Fixation	860	233.75	4	----	S1
0:10:20	861	231	Fixation	860.2	233.2	5	----	S1
0:10:21	857	217	Fixation	859.667	230.5	6	----	S1
0:10:22	895	236	Fixation	864.714	231.286	7	----	S1
0:10:23	982	234	--------	-9999	-9999	0	----	S1
0:11:0	976	229	--------	-9999	-9999	1	----	S1
0:11:1	982	229	--------	-9999	-9999	2	----	S1
0:11:2	987	232	--------	-9999	-9999	3	----	S1
0:11:3	985	226	Fixation	982.5	229	4	----	S1
0:11:4	1070	250	--------	-9999	-9999	0	----	S1
0:11:5	1084	237	--------	-9999	-9999	1	----	S1
0:11:6	1085	243	--------	-9999	-9999	2	----	S1
0:11:7	1090	235	--------	-9999	-9999	3	----	S1
0:11:8	1086	232	Fixation	1086.25	236.75	4	----	S1
0:11:9	1091	239	Fixation	1087.2	237.2	5	----	S1
0:11:10	1092	236	Fixation	1088	237	6	----	S1
0:11:11	1152	229	--------	-9999	-9999	0	----	S1
0:11:12	1147	231	--------	-9999	-9999	1	----	S1
0:11:13	1215	226	--------	-9999	-9999	2	----	S1
0:11:14	1242	220	--------	-9999	-9999	3	----	S1
0:11:15	1250	226	--------	-9999	-9999	0	----	S1
0:11:16	1247	225	--------	-9999	-9999	1	----	S1
0:11:17	1249	217	--------	-9999	-9999	2	----	S1
0:11:18	1250	221	--------	-9999	-9999	3	----	S1
0:11:19	1166	221	--------	-9999	-9999	0	----	S1
0:11:20	291	235	--------	-9999	-9999	1	----	S1
0:11:21	292	234	--------	-9999	-9999	2	----	S1
0:11:22	310	221	--------	-9999	-9999	3	----	S1
0:11:23	253	229	Fixation	286.5	229.75	4	----	S1
0:12:0	234	249	--------	-9999	-9999	0	----	S1
0:12:1	234	244	--------	-9999	-9999	1	----	S1
0:12:2	247	243	--------	-9999	-9999	2	----	S1
0:12:3	247	244	--------	-9999	-9999	3	----	S1
0:12:4	260	265	Fixation	247	249	4	----	S1
0:12:5	256	264	Fixation	248.8	252	5	----	S1
0:12:6	252	277	Fixation	249.333	256.167	6	----	S1
0:12:7	245	282	Fixation	248.714	259.857	7	----	S1
0:12:8	237	280	Fixation	247.25	262.375	8	----	S1
0:12:9	216	281	Fixation	243.778	264.444	9	----	S1
0:12:10	207	284	Fixation	240.1	266.4	10	----	S1
0:12:11	201	286	Fixation	236.545	268.182	11	----	S1
0:12:12	194	287	--------	-9999	-9999	0	----	S1
0:12:13	315	295	--------	-9999	-9999	1	----	S1
0:12:14	323	295	--------	-9999	-9999	2	----	S1
0:12:15	323	295	--------	-9999	-9999	3	----	S1
0:12:16	323	292	Fixation	321	294.25	4	----	S1
0:12:17	325	284	Fixation	321.8	292.2	5	----	S1
0:12:18	329	286	Fixation	323	291.167	6	----	S1
0:12:19	326	280	Fixation	323.429	289.571	7	----	S1
0:12:20	326	282	Fixation	323.75	288.625	8	----	S1
0:12:21	393	280	--------	-9999	-9999	0	----	S1
0:12:22	394	284	--------	-9999	-9999	1	----	S1
0:12:23	393	280	--------	-9999	-9999	2	----	S1
0:13:0	395	279	--------	-9999	-9999	3	----	S1
0:13:1	447	276	Fixation	407.25	279.75	4	----	S1
0:13:2	460	272	--------	-9999	-9999	0	----	S1
0:13:3	458	272	--------	-9999	-9999	1	----	S1
0:13:4	458	272	--------	-9999	-9999	2	----	S1
0:13:5	463	274	--------	-9999	-9999	3	----	S1
0:13:6	463	274	Fixation	460.5	273	4	----	S1
0:13:7	539	282	--------	-9999	-9999	0	----	S1
0:13:8	557	278	--------	-9999	-9999	1	----	S1
0:13:9	558	274	--------	-9999	-9999	2	----	S1
0:13:10	557	273	--------	-9999	-9999	3	----	S1
0:13:11	553	279	Fixation	556.25	276	4	----	S1
0:13:12	561	273	Fixation	557.2	275.4	5	----	S1
0:13:13	561	278	Fixation	557.833	275.833	6	----	S1
0:13:14	562	276	Fixation	558.429	275.857	7	----	S1
0:13:15	599	284	Fixation	563.5	276.875	8	----	S1
0:13:16	607	274	Fixation	568.333	276.556	9	----	S1
0:13:17	607	274	Fixation	572.2	276.3	10	----	S1
0:13:18	605	271	Fixation	575.182	275.818	11	----	S1
0:13:19	605	269	Fixation	577.667	275.25	12	----	S1
0:13:20	600	267	Fixation	579.385	274.615	13	----	S1
0:13:21	600	267	Fixation	580.857	274.071	14	----	S1
0:13:22	647	275	--------	-9999	-9999	0	----	S1
0:13:23	649	268	--------	-9999	-9999	1	----	S1
0:14:0	657	276	--------	-9999	-9999	2	----	S1
0:14:1	654	267	--------	-9999	-9999	3	----	S1
0:14:2	728	286	--------	-9999	-9999	0	----	S1
0:14:3	742	285	--------	-9999	-9999	1	----	S1
0:14:4	743	279	--------	-9999	-9999	2	----	S1
0:14:5	745	277	--------	-9999	-9999	3	----	S1
0:14:6	750	279	Fixation	745	280	4	----	S1
0:14:7	752	279	Fixation	746.4	279.8	5	----	S1
0:14:8	752	277	Fixation	747.333	279.333	6	----	S1
0:14:9	751	278	Fixation	747.857	279.143	7	----	S1
0:14:10	755	277	Fixation	748.75	278.875	8	----	S1
0:14:11	848	276	--------	-9999	-9999	0	----	S1
0:14:12	878	275	--------	-9999	-9999	1	----	S1
0:14:13	873	278	--------	-9999	-9999	2	----	S1
0:14:14	879	271	--------	-9999	-9999	3	----	S1
0:14:15	877	276	Fixation	876.75	275	4	----	S1
0:14:16	872	274	Fixation	875.8	274.8	5	----	S1
0:14:17	873	279	Fixation	875.333	275.5	6	----	S1
0:14:18	866	281	Fixation	874	276.286	7	----	S1
0:14:19	916	285	Fixation	879.25	277.375	8	----	S1
0:14:20	969	288	--------	-9999	-9999	0	----	S1
0:14:21	965	290	--------	-9999	-9999	1	----	S1
0:14:22	966	290	--------	-9999	-9999	2	----	S1
0:14:23	968	289	--------	-9999	-9999	3	----	S1
0:15:0	966	291	Fixation	966.25	290	4	----	S1
0:15:1	972	297	Fixation	967.4	291.4	5	----	S1
0:15:2	1166	306	--------	-9999	-9999	0	----	S1
0:15:3	1162	307	--------	-9999	-9999	1	----	S1
0:15:4	1170	307	--------	-9999	-9999	2	----	S1
0:15:5	1165	300	--------	-9999	-9999	3	----	S1
0:15:6	1166	306	Fixation	1165.75	305	4	----	S1
0:15:7	1157	312	Fixation	1164	306.4	5	----	S1
0:15:8	1157	304	Fixation	1162.83	306	6	----	S1
0:15:9	1157	303	Fixation	1162	305.571	7	----	S1
0:15:10	1159	302	Fixation	1161.63	305.125	8	----	S1
0:15:11	1273	298	--------	-9999	-9999	0	----	S1
0:15:12	1288	298	--------	-9999	-9999	1	----	S1
0:15:13	1297	297	--------	-9999	-9999	2	----	S1
0:15:14	1299	296	--------	-9999	-9999	3	----	S1
0:15:15	1079	306	--------	-9999	-9999	0	----	S1
0:15:16	1081	302	--------	-9999	-9999	1	----	S1
0:15:17	476	336	--------	-9999	-9999	0	----	S1
0:15:18	362	331	--------	-9999	-9999	1	----	S1
0:15:19	362	331	--------	-9999	-9999	2	----	S1
0:15:20	368	322	--------	-9999	-9999	3	----	S1
0:15:21	222	341	--------	-9999	-9999	0	----	S1
0:15:22	227	333	--------	-9999	-9999	1	----	S1
0:15:23	239	329	--------	-9999	-9999	2	----	S1
0:16:0	239	325	--------	-9999	-9999	3	----	S1
0:16:1	251	324	Fixation	239	327.75	4	----	S1
0:16:2	256	327	Fixation	242.4	327.6	5	----	S1
0:16:3	251	323	Fixation	243.833	326.833	6	----	S1
0:16:4	251	323	Fixation	244.857	326.286	7	----	S1
0:16:5	253	322	Fixation	245.875	325.75	8	----	S1
0:16:6	251	323	Fixation	246.444	325.444	9	----	S1
0:16:7	244	318	Fixation	246.2	324.7	10	----	S1
0:16:8	239	318	Fixation	245.545	324.091	11	----	S1
0:16:9	220	331	Fixation	243.417	324.667	12	----	S1
0:16:10	216	328	Fixation	241.308	324.923	13	----	S1
0:16:11	217	327	Fixation	239.571	325.071	14	----	S1
0:16:12	208	325	Fixation	237.467	325.067	15	----	S1
0:16:13	202	317	Fixation	235.25	324.563	16	----	S1
0:16:14	204	323	Fixation	233.412	324.471	17	----	S1
0:16:15	333	329	--------	-9999	-9999	0	----	S1
0:16:16	340	331	--------	-9999	-9999	1	----	S1
0:16:17	336	325	--------	-9999	-9999	2	----	S1
0:16:18	333	323	--------	-9999	-9999	3	----	S1
0:16:19	333	324	Fixation	335.5	325.75	4	----	S1
0:16:20	343	330	Fixation	337	326.6	5	----	S1
0:16:21	362	331	Fixation	341.167	327.333	6	----	S1
0:16:22	438	333	--------	-9999	-9999	0	----	S1
0:16:23	440	334	--------	-9999	-9999	1	----	S1
0:17:0	439	329	--------	-9999	-9999	2	----	S1
0:17:1	436	331	--------	-9999	-9999	3	----	S1
0:17:2	433	327	Fixation	437	330.25	4	----	S1
0:17:3	443	327	Fixation	438.2	329.6	5	----	S1
0:17:4	443	332	Fixation	439	330	6	----	S1
0:17:5	440	329	Fixation	439.143	329.857	7	----	S1
0:17:6	484	334	Fixation	444.75	330.375	8	----	S1
0:17:7	534	337	--------	-9999	-9999	0	----	S1
0:17:8	543	332	--------	-9999	-9999	1	----	S1
0:17:9	539	335	--------	-9999	-9999	2	----	S1
0:17:10	539	333	--------	-9999	-9999	3	----	S1
0:17:11	535	332	Fixation	539	333	4	----	S1
0:17:12	643	335	--------	-9999	-9999	0	----	S1
0:17:13	642	337	--------	-9999	-9999	1	----	S1
0:17:14	645	332	--------	-9999	-9999	2	----	S1
0:17:15	646	332	--------	-9999	-9999	3	----	S1
0:17:16	653	336	Fixation	646.5	334.25	4	----	S1
0:17:17	650	336	Fixation	647.2	334.6	5	----	S1
0:17:18	654	335	Fixation	648.333	334.667	6	----	S1
0:17:19	809	347	--------	-9999	-9999	0	----	S1
0:17:20	819	343	--------	-9999	-9999	1	----	S1
0:17:21	815	350	--------	-9999	-9999	2	----	S1
0:17:22	817	350	--------	-9999	-9999	3	----	S1
0:17:23	815	344	Fixation	816.5	346.75	4	----	S1
0:18:0	813	345	Fixation	815.8	346.4	5	----	S1
0:18:1	811	340	Fixation	815	345.333	6	----	S1
0:18:2	876	348	--------	-9999	-9999	0	----	S1
0:18:3	898	352	--------	-9999	-9999	1	----	S1
0:18:4	897	353	--------	-9999	-9999	2	----	S1
