# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	179	214	--------	-9999	-9999	1	----	D1
0:0:14	222	185	--------	-9999	-9999	2	----	D1
0:0:15	228	189	--------	-9999	-9999	3	----	D1
0:0:16	215	209	Fixation	211	199.25	4	----	D1
0:0:17	226	193	Fixation	214	198	5	----	D1
0:0:18	166	228	--------	-9999	-9999	0	----	D1
0:0:19	199	211	--------	-9999	-9999	1	----	D1
0:0:20	172	230	--------	-9999	-9999	2	----	D1
0:0:21	203	208	--------	-9999	-9999	3	----	D1
0:0:22	159	240	Fixation	183.25	222.25	4	----	D1
0:0:23	174	231	Fixation	181.4	224	5	----	D1
0:1:0	233	188	--------	-9999	-9999	0	----	D1
0:1:1	154	247	--------	-9999	-9999	1	----	D1
0:1:2	231	192	--------	-9999	-9999	0	----	D1
0:1:3	236	193	--------	-9999	-9999	1	----	D1
0:1:4	265	180	--------	-9999	-9999	2	----	D1
0:1:5	227	209	--------	-9999	-9999	3	----	D1
0:1:6	215	207	Fixation	235.75	197.25	4	----	D1
0:1:7	250	203	Fixation	238.6	198.4	5	----	D1
0:1:8	179	320	--------	-9999	-9999	0	----	D1
0:1:9	308	283	--------	-9999	-9999	1	----	D1
0:1:10	308	283	--------	-9999	-9999	2	----	D1
0:1:11	361	200	--------	-9999	-9999	3	----	D1
0:1:12	109	371	--------	-9999	-9999	0	----	D1
0:1:13	201	285	--------	-9999	-9999	1	----	D1
0:1:14	357	141	--------	-9999	-9999	0	----	D1
0:1:15	288	206	--------	-9999	-9999	1	----	D1
0:1:16	252	271	--------	-9999	-9999	2	----	D1
0:1:17	397	139	--------	-9999	-9999	3	----	D1
0:1:18	391	125	--------	-9999	-9999	0	----	D1
0:1:19	298	179	--------	-9999	-9999	1	----	D1
0:1:20	238	211	--------	-9999	-9999	2	----	D1
0:1:21	323	142	--------	-9999	-9999	3	----	D1
0:1:22	291	171	--------	-9999	-9999	0	----	D1
0:1:23	295	194	--------	-9999	-9999	1	----	D1
0:2:0	333	145	--------	-9999	-9999	2	----	D1
0:2:1	345	110	--------	-9999	-9999	3	----	D1
0:2:2	330	130	--------	-9999	-9999	0	----	D1
0:2:3	301	142	--------	-9999	-9999	1	----	D1
0:2:4	316	129	--------	-9999	-9999	2	----	D1
0:2:5	333	118	--------	-9999	-9999	3	----	D1
0:2:6	212	201	--------	-9999	-9999	0	----	D1
0:2:7	280	164	--------	-9999	-9999	1	----	D1
