# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	-9999	-9999	--------	-9999	-9999	1	----	
0:0:14	-9999	-9999	--------	-9999	-9999	2	----	
0:0:15	-9999	-9999	--------	-9999	-9999	3	----	
0:0:16	369	217	--------	-9999	-9999	0	----	S1
0:0:17	378	213	--------	-9999	-9999	1	----	S1
0:0:18	395	221	--------	-9999	-9999	2	----	S1
0:0:19	400	224	--------	-9999	-9999	3	----	S1
0:0:20	401	230	Fixation	393.5	222	4	----	S1
0:0:21	396	227	Fixation	394	223	5	----	S1
0:0:22	403	242	Fixation	395.5	226.167	6	----	S1
0:0:23	411	230	Fixation	397.714	226.714	7	----	S1
0:1:0	406	214	Fixation	398.75	225.125	8	----	S1
0:1:1	400	209	Fixation	398.889	223.333	9	----	S1
0:1:2	398	185	Fixation	398.8	219.5	10	----	S1
0:1:3	399	189	Fixation	398.818	216.727	11	----	S1
0:1:4	459	185	--------	-9999	-9999	0	----	S1
0:1:5	481	177	--------	-9999	-9999	1	----	S1
0:1:6	488	183	--------	-9999	-9999	2	----	S1
0:1:7	494	183	--------	-9999	-9999	3	----	S1
0:1:8	503	190	Fixation	491.5	183.25	4	----	S1
0:1:9	510	195	Fixation	495.2	185.6	5	----	S1
0:1:10	508	198	Fixation	497.333	187.667	6	----	S1
0:1:11	509	199	Fixation	499	189.286	7	----	S1
0:1:12	504	208	Fixation	499.625	191.625	8	----	S1
0:1:13	508	204	Fixation	500.556	193	9	----	S1
0:1:14	500	201	Fixation	500.5	193.8	10	----	S1
0:1:15	499	202	Fixation	500.364	194.545	11	----	S1
0:1:16	499	206	Fixation	500.25	195.5	12	----	S1
0:1:17	506	205	Fixation	500.692	196.231	13	----	S1
0:1:18	512	207	Fixation	501.5	197	14	----	S1
0:1:19	512	207	Fixation	502.2	197.667	15	----	S1
0:1:20	533	212	Fixation	504.125	198.563	16	----	S1
0:1:21	527	206	Fixation	505.471	199	17	----	S1
0:1:22	510	195	Fixation	505.722	198.778	18	----	S1
0:1:23	566	177	--------	-9999	-9999	0	----	S1
0:2:0	560	185	--------	-9999	-9999	1	----	S1
0:2:1	566	184	--------	-9999	-9999	2	----	S1
0:2:2	561	193	--------	-9999	-9999	3	----	S1
0:2:3	559	192	Fixation	561.5	188.5	4	----	S1
0:2:4	562	209	Fixation	561.6	192.6	5	----	S1
0:2:5	549	213	Fixation	559.5	196	6	----	S1
0:2:6	540	208	Fixation	556.714	197.714	7	----	S1
0:2:7	532	216	Fixation	553.625	200	8	----	S1
