# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	-1	-1	--------	-9999	-9999	2	----	D2
0:0:14	-1	-1	Fixation	-0.5	-0.5	4	----	D2
0:0:15	-1	-1	Fixation	-0.5	-0.5	6	----	
0:0:16	-1	-1	Fixation	-0.5	-0.5	8	----	
0:0:17	-1	-1	Fixation	-0.5	-0.5	10	----	D2
0:0:18	-1	-1	Fixation	-0.5	-0.5	12	----	D2
0:0:19	-1	-1	Fixation	-0.5	-0.5	14	----	D2
0:0:20	-1	-1	Fixation	-0.5	-0.5	16	----	
0:0:21	-1	-1	Fixation	-0.5	-0.5	18	----	
0:0:22	-1	-1	Fixation	-0.5	-0.5	20	----	D2
0:0:23	-1	-1	Fixation	-0.5	-0.5	22	----	
0:1:0	-1	-1	Fixation	-0.5	-0.5	24	----	
0:1:1	-1	-1	Fixation	-0.5	-0.5	26	----	
0:1:2	-1	-1	Fixation	-0.5	-0.5	28	----	
0:1:3	-1	-1	Fixation	-0.5	-0.5	30	----	D2
0:1:4	-1	-1	Fixation	-0.5	-0.5	32	----	
0:1:5	-1	-1	Fixation	-0.5	-0.5	34	----	D2
0:1:6	-1	-1	Fixation	-0.5	-0.5	36	----	
0:1:7	-1	-1	Fixation	-0.5	-0.5	38	----	D2
0:1:8	-1	-1	Fixation	-0.5	-0.5	40	----	
0:1:9	-1	-1	Fixation	-0.5	-0.5	42	----	
0:1:10	-1	-1	Fixation	-0.5	-0.5	44	----	
0:1:11	-1	-1	Fixation	-0.5	-0.5	46	----	
0:1:12	-1	-1	Fixation	-0.5	-0.5	48	----	D2
0:1:13	-1	-1	Fixation	-0.5	-0.5	50	----	
0:1:14	-1	-1	Fixation	-0.5	-0.5	52	----	
0:1:15	-1	-1	Fixation	-0.5	-0.5	54	----	
0:1:16	-1	-1	Fixation	-0.5	-0.5	56	----	
0:1:17	-1	-1	Fixation	-0.5	-0.5	58	----	D2
0:1:18	-1	-1	Fixation	-0.5	-0.5	60	----	
0:1:19	-1	-1	Fixation	-0.5	-0.5	62	----	
0:1:20	-1	-1	Fixation	-0.5	-0.5	64	----	
0:1:21	-1	-1	Fixation	-0.5	-0.5	66	----	
0:1:22	-1	-1	Fixation	-0.5	-0.5	68	----	D2
0:1:23	-1	-1	Fixation	-0.5	-0.5	70	----	
0:2:0	-1	-1	Fixation	-0.5	-0.5	72	----	D2
0:2:1	-1	-1	Fixation	-0.5	-0.5	74	----	D2
0:2:2	-1	-1	Fixation	-0.5	-0.5	76	----	
0:2:3	-1	-1	Fixation	-0.5	-0.5	78	----	D2
0:2:4	-1	-1	Fixation	-0.5	-0.5	80	----	
0:2:5	-1	-1	Fixation	-0.5	-0.5	82	----	
0:2:6	-1	-1	Fixation	-0.5	-0.5	84	----	D2
0:2:7	-1	-1	Fixation	-0.5	-0.5	86	----	D2
0:2:8	-1	-1	Fixation	-0.5	-0.5	88	----	D2
0:2:9	-1	-1	Fixation	-0.5	-0.5	90	----	D2
0:2:10	-1	-1	Fixation	-0.5	-0.5	92	----	D2
0:2:11	-1	-1	Fixation	-0.5	-0.5	94	----	D2
0:2:12	-1	-1	Fixation	-0.5	-0.5	96	----	D2
0:2:13	-1	-1	Fixation	-0.5	-0.5	98	----	
0:2:14	-1	-1	Fixation	-0.5	-0.5	100	----	D2
0:2:15	-1	-1	Fixation	-0.5	-0.5	102	----	
0:2:16	-1	-1	Fixation	-0.5	-0.5	104	----	
0:2:17	-1	-1	Fixation	-0.5	-0.5	106	----	D2
0:2:18	-1	-1	Fixation	-0.5	-0.5	108	----	D2
0:2:19	-1	-1	Fixation	-0.5	-0.5	110	----	D2
0:2:20	-1	-1	Fixation	-0.5	-0.5	112	----	
0:2:21	-1	-1	Fixation	-0.5	-0.5	114	----	D2
0:2:22	-1	-1	Fixation	-0.5	-0.5	116	----	D2
0:2:23	-1	-1	Fixation	-0.5	-0.5	118	----	
0:3:0	-1	-1	Fixation	-0.5	-0.5	120	----	
0:3:1	-1	-1	Fixation	-0.5	-0.5	122	----	D2
0:3:2	-1	-1	Fixation	-0.5	-0.5	124	----	D2
0:3:3	-1	-1	Fixation	-0.5	-0.5	126	----	
0:3:4	-1	-1	Fixation	-0.5	-0.5	128	----	
0:3:5	-1	-1	Fixation	-0.5	-0.5	130	----	D2
0:3:6	-1	-1	Fixation	-0.5	-0.5	132	----	D2
0:3:7	-1	-1	Fixation	-0.5	-0.5	134	----	D2
0:3:8	-1	-1	Fixation	-0.5	-0.5	136	----	
0:3:9	-1	-1	Fixation	-0.5	-0.5	138	----	D2
0:3:10	-1	-1	Fixation	-0.5	-0.5	140	----	
0:3:11	-1	-1	Fixation	-0.5	-0.5	142	----	
0:3:12	467	306	--------	-9999	-9999	0	----	D2
0:3:13	350	271	--------	-9999	-9999	1	----	
0:3:14	337	302	--------	-9999	-9999	2	----	
0:3:15	365	301	--------	-9999	-9999	3	----	
0:3:16	541	345	--------	-9999	-9999	0	----	D2
0:3:17	423	279	--------	-9999	-9999	1	----	
0:3:18	551	335	--------	-9999	-9999	0	----	
0:3:19	546	332	--------	-9999	-9999	1	----	
0:3:20	429	277	--------	-9999	-9999	0	----	D2
0:3:21	487	284	--------	-9999	-9999	1	----	D2
0:3:22	579	314	--------	-9999	-9999	0	----	D2
0:3:23	324	293	--------	-9999	-9999	1	----	D2
0:4:0	429	272	--------	-9999	-9999	0	----	
0:4:1	392	259	--------	-9999	-9999	1	----	
0:4:2	373	270	--------	-9999	-9999	2	----	
0:4:3	331	283	--------	-9999	-9999	3	----	D2
0:4:4	414	318	--------	-9999	-9999	0	----	D2
0:4:5	299	289	--------	-9999	-9999	1	----	D2
0:4:6	506	316	--------	-9999	-9999	0	----	D2
0:4:7	506	316	--------	-9999	-9999	1	----	D2
0:4:8	-9999	-9999	--------	-9999	-9999	0	----	D2
0:4:9	581	106	--------	-9999	-9999	1	----	D2
0:4:10	663	162	--------	-9999	-9999	0	----	D2
0:4:11	643	180	--------	-9999	-9999	1	----	D2
0:4:12	597	127	--------	-9999	-9999	2	----	D2
0:4:13	668	156	--------	-9999	-9999	3	----	D2
0:4:14	609	156	--------	-9999	-9999	0	----	D2
