# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	730	480	--------	-9999	-9999	1	----	
0:0:14	728	489	--------	-9999	-9999	2	----	
0:0:15	763	485	--------	-9999	-9999	3	----	
0:0:16	762	490	Fixation	745.75	486	4	----	
0:0:17	764	485	Fixation	749.4	485.8	5	----	
0:0:18	760	501	Fixation	751.167	488.333	6	----	
0:0:19	764	495	Fixation	753	489.286	7	----	
0:0:20	297	282	--------	-9999	-9999	0	----	S2
0:0:21	185	156	--------	-9999	-9999	1	----	S2
0:0:22	245	259	--------	-9999	-9999	0	----	S2
0:0:23	224	299	--------	-9999	-9999	1	----	S2
0:1:0	184	236	--------	-9999	-9999	2	----	S2
0:1:1	219	322	--------	-9999	-9999	3	----	S2
0:1:2	220	299	--------	-9999	-9999	0	----	S2
0:1:3	212	281	--------	-9999	-9999	1	----	S2
0:1:4	184	227	--------	-9999	-9999	2	----	S2
0:1:5	209	288	--------	-9999	-9999	3	----	S2
0:1:6	214	298	--------	-9999	-9999	0	----	S2
0:1:7	192	263	--------	-9999	-9999	1	----	S2
0:1:8	192	263	--------	-9999	-9999	2	----	S2
0:1:9	178	203	--------	-9999	-9999	3	----	S2
0:1:10	238	299	--------	-9999	-9999	0	----	S2
0:1:11	218	216	--------	-9999	-9999	1	----	S2
0:1:12	190	234	--------	-9999	-9999	2	----	S2
0:1:13	189	174	--------	-9999	-9999	3	----	S2
0:1:14	252	207	--------	-9999	-9999	0	----	S2
0:1:15	263	197	--------	-9999	-9999	1	----	S2
0:1:16	283	244	--------	-9999	-9999	2	----	S2
0:1:17	264	215	--------	-9999	-9999	3	----	S2
0:1:18	257	189	Fixation	266.75	211.25	4	----	S2
0:1:19	247	184	--------	-9999	-9999	0	----	S2
0:1:20	288	222	--------	-9999	-9999	1	----	S2
0:1:21	302	196	--------	-9999	-9999	2	----	S2
0:1:22	298	242	--------	-9999	-9999	3	----	S2
0:1:23	295	176	Fixation	295.75	209	4	----	S2
0:2:0	297	200	Fixation	296	207.2	5	----	S2
0:2:1	309	216	Fixation	298.167	208.667	6	----	S2
0:2:2	308	214	Fixation	299.571	209.429	7	----	S2
