# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	303	239	--------	-9999	-9999	1	----	S1
0:0:14	362	209	--------	-9999	-9999	2	----	S1
0:0:15	183	283	--------	-9999	-9999	3	----	S1
0:0:16	-9999	-9999	--------	-9999	-9999	0	----	S1
0:0:17	45	280	--------	-9999	-9999	1	----	S1
0:0:18	42	279	--------	-9999	-9999	2	----	S1
0:0:19	207	239	--------	-9999	-9999	3	----	S1
0:0:20	192	220	--------	-9999	-9999	0	----	S1
0:0:21	217	256	--------	-9999	-9999	1	----	S1
0:0:22	80	302	--------	-9999	-9999	0	----	S1
0:0:23	-9999	-9999	--------	-9999	-9999	1	----	S1
0:1:0	-9999	-9999	--------	-9999	-9999	2	----	S1
0:1:1	-9999	-9999	--------	-9999	-9999	3	----	S1
0:1:2	-9999	-9999	Fixation	-9999	-9999	4	----	S1
0:1:3	-9999	-9999	Fixation	-9999	-9999	5	----	S1
0:1:4	-9999	-9999	Fixation	-9999	-9999	6	----	S1
0:1:5	-9999	-9999	Fixation	-9999	-9999	7	----	S1
0:1:6	-9999	-9999	Fixation	-9999	-9999	8	----	S1
0:1:7	292	290	--------	-9999	-9999	0	----	S1
0:1:8	292	290	--------	-9999	-9999	1	----	S1
0:1:9	273	309	--------	-9999	-9999	2	----	S1
0:1:10	250	305	--------	-9999	-9999	3	----	S1
0:1:11	265	300	Fixation	270	301	4	----	S1
0:1:12	259	304	Fixation	267.8	301.6	5	----	S1
0:1:13	159	322	--------	-9999	-9999	0	----	S1
0:1:14	109	324	--------	-9999	-9999	1	----	S1
0:1:15	125	329	--------	-9999	-9999	2	----	S1
0:1:16	58	305	--------	-9999	-9999	3	----	S1
0:1:17	90	341	--------	-9999	-9999	0	----	S1
0:1:18	-9999	-9999	--------	-9999	-9999	1	----	S1
0:1:19	212	272	--------	-9999	-9999	0	----	S1
0:1:20	199	256	--------	-9999	-9999	1	----	S1
0:1:21	237	297	--------	-9999	-9999	2	----	S1
0:1:22	309	265	--------	-9999	-9999	3	----	S1
0:1:23	301	253	--------	-9999	-9999	0	----	S1
0:2:0	301	250	--------	-9999	-9999	1	----	S1
0:2:1	259	281	--------	-9999	-9999	2	----	S1
0:2:2	283	289	--------	-9999	-9999	3	----	S1
0:2:3	281	285	Fixation	281	276.25	4	----	S1
0:2:4	190	332	--------	-9999	-9999	0	----	S1
0:2:5	321	268	--------	-9999	-9999	1	----	S1
0:2:6	270	309	--------	-9999	-9999	2	----	S1
0:2:7	476	336	--------	-9999	-9999	3	----	S1
0:2:8	476	345	--------	-9999	-9999	0	----	S1
0:2:9	429	350	--------	-9999	-9999	1	----	S1
0:2:10	450	312	--------	-9999	-9999	2	----	S1
0:2:11	442	323	--------	-9999	-9999	3	----	S1
0:2:12	460	301	Fixation	445.25	321.5	4	----	S1
0:2:13	458	300	Fixation	447.8	317.2	5	----	S1
0:2:14	417	307	Fixation	442.667	315.5	6	----	S1
