# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
2:54:19	720	760	Fixation	725.25	749.75	4	----	S2
2:54:20	780	781	--------	-9999	-9999	0	----	S2
2:54:21	779	760	--------	-9999	-9999	1	----	S2
2:54:22	776	760	--------	-9999	-9999	2	----	S2
2:54:23	781	756	--------	-9999	-9999	3	----	S2
2:55:0	774	753	Fixation	777.5	757.25	4	----	S2
2:55:1	781	739	Fixation	778.2	753.6	5	----	S2
2:55:2	780	762	Fixation	778.5	755	6	----	S2
2:55:3	811	749	Fixation	783.143	754.143	7	----	S2
2:55:4	830	749	--------	-9999	-9999	0	----	S2
2:55:5	827	763	--------	-9999	-9999	1	----	S2
2:55:6	823	768	--------	-9999	-9999	2	----	S2
2:55:7	823	758	--------	-9999	-9999	3	----	S2
2:55:8	823	764	Fixation	824	763.25	4	----	S2
2:55:9	901	776	--------	-9999	-9999	0	----	S2
2:55:10	908	770	--------	-9999	-9999	1	----	S2
2:55:11	891	770	--------	-9999	-9999	2	----	S2
2:55:12	903	762	--------	-9999	-9999	3	----	S2
2:55:13	899	764	Fixation	900.25	766.5	4	----	S2
2:55:14	890	752	Fixation	898.2	763.6	5	----	S2
2:55:15	815	760	--------	-9999	-9999	0	----	S2
2:55:16	817	761	--------	-9999	-9999	1	----	S2
2:55:17	810	780	--------	-9999	-9999	2	----	S2
2:55:18	813	772	--------	-9999	-9999	3	----	S2
2:55:19	812	773	Fixation	813	771.5	4	----	S2
2:55:20	818	783	Fixation	814	773.8	5	----	S2
2:55:21	805	786	Fixation	812.5	775.833	6	----	S2
2:55:22	817	788	Fixation	813.143	777.571	7	----	S2
2:55:23	817	777	Fixation	813.625	777.5	8	----	S2
2:56:0	898	780	--------	-9999	-9999	0	----	S2
2:56:1	892	770	--------	-9999	-9999	1	----	S2
2:56:2	887	774	--------	-9999	-9999	2	----	S2
2:56:3	877	776	--------	-9999	-9999	3	----	S2
2:56:4	873	776	Fixation	882.25	774	4	----	S2
2:56:5	867	771	Fixation	879.2	773.4	5	----	S2
2:56:6	933	783	--------	-9999	-9999	0	----	S2
2:56:7	933	784	--------	-9999	-9999	1	----	S2
2:56:8	932	778	--------	-9999	-9999	2	----	S2
2:56:9	934	769	--------	-9999	-9999	3	----	S2
2:56:10	944	779	Fixation	935.75	777.5	4	----	S2
2:56:11	947	773	Fixation	938	776.6	5	----	S2
2:56:12	953	775	Fixation	940.5	776.333	6	----	S2
2:56:13	957	764	Fixation	942.857	774.571	7	----	S2
2:56:14	910	771	Fixation	938.75	774.125	8	----	S2
2:56:15	907	778	Fixation	935.222	774.556	9	----	S2
2:56:16	914	758	Fixation	933.1	772.9	10	----	S2
2:56:17	912	776	Fixation	931.182	773.182	11	----	S2
2:56:18	902	774	Fixation	928.75	773.25	12	----	S2
2:56:19	999	784	--------	-9999	-9999	0	----	S2
2:56:20	997	779	--------	-9999	-9999	1	----	S2
2:56:21	998	776	--------	-9999	-9999	2	----	S2
2:56:22	999	770	--------	-9999	-9999	3	----	S2
2:56:23	999	770	Fixation	998.25	773.75	4	----	S2
2:57:0	996	770	Fixation	997.8	773	5	----	S2
2:57:1	991	757	Fixation	996.667	770.333	6	----	S2
2:57:2	1002	763	Fixation	997.429	769.286	7	----	S2
2:57:3	1011	775	Fixation	999.125	770	8	----	S2
2:57:4	1004	771	Fixation	999.667	770.111	9	----	S2
2:57:5	1002	785	Fixation	999.9	771.6	10	----	S2
2:57:6	1021	781	Fixation	1001.82	772.455	11	----	S2
2:57:7	1058	791	--------	-9999	-9999	0	----	S2
2:57:8	1060	788	--------	-9999	-9999	1	----	S2
2:57:9	1065	772	--------	-9999	-9999	2	----	S2
2:57:10	1059	753	--------	-9999	-9999	3	----	S2
2:57:11	1057	784	Fixation	1060.25	774.25	4	----	S2
2:57:12	1051	772	Fixation	1058.4	773.8	5	----	S2
2:57:13	1114	784	--------	-9999	-9999	0	----	S2
2:57:14	1115	778	--------	-9999	-9999	1	----	S2
2:57:15	1119	779	--------	-9999	-9999	2	----	S2
2:57:16	1136	797	--------	-9999	-9999	3	----	S2
2:57:17	1158	744	--------	-9999	-9999	0	----	S2
2:57:18	1149	730	--------	-9999	-9999	1	----	S2
2:57:19	1151	747	--------	-9999	-9999	2	----	S2
2:57:20	1151	747	--------	-9999	-9999	3	----	S2
2:57:21	1173	732	Fixation	1156	739	4	----	S2
2:57:22	1160	741	Fixation	1156.8	739.4	5	----	S2
2:57:23	1169	733	Fixation	1158.83	738.333	6	----	S2
2:58:0	1165	737	Fixation	1159.71	738.143	7	----	S2
2:58:1	1208	760	--------	-9999	-9999	0	----	S2
2:58:2	1218	765	--------	-9999	-9999	1	----	S2
2:58:3	1218	752	--------	-9999	-9999	2	----	S2
2:58:4	1210	764	--------	-9999	-9999	3	----	S2
2:58:5	1226	767	Fixation	1218	762	4	----	S2
2:58:6	1206	760	Fixation	1215.6	761.6	5	----	S2
2:58:7	1231	744	Fixation	1218.17	758.667	6	----	S2
2:58:8	1289	765	--------	-9999	-9999	0	----	S2
2:58:9	1285	771	--------	-9999	-9999	1	----	S2
2:58:10	1294	760	--------	-9999	-9999	2	----	S2
2:58:11	1300	734	--------	-9999	-9999	3	----	S2
2:58:12	1299	763	Fixation	1294.5	757	4	----	S2
2:58:13	1294	752	Fixation	1294.4	756	5	----	S2
2:58:14	1304	745	Fixation	1296	754.167	6	----	S2
