# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	-1	-1	--------	-9999	-9999	2	----	D2
0:0:14	310	248	--------	-9999	-9999	3	----	D2
0:0:15	318	238	--------	-9999	-9999	0	----	D2
0:0:16	305	269	--------	-9999	-9999	1	----	D2
0:0:17	308	259	--------	-9999	-9999	2	----	D2
0:0:18	305	269	--------	-9999	-9999	3	----	
0:0:19	316	262	Fixation	308.5	264.75	4	----	D2
0:0:20	272	208	--------	-9999	-9999	0	----	D2
0:0:21	228	575	--------	-9999	-9999	1	----	D2
0:0:22	360	286	--------	-9999	-9999	0	----	D2
0:0:23	336	277	--------	-9999	-9999	1	----	D2
0:1:0	319	256	--------	-9999	-9999	2	----	D2
0:1:1	340	263	--------	-9999	-9999	3	----	D2
0:1:2	304	217	--------	-9999	-9999	0	----	D2
0:1:3	337	255	--------	-9999	-9999	1	----	D2
0:1:4	342	253	--------	-9999	-9999	2	----	D2
0:1:5	329	248	--------	-9999	-9999	3	----	D2
0:1:6	310	222	Fixation	329.5	244.5	4	----	D2
0:1:7	316	220	Fixation	326.8	239.6	5	----	D2
0:1:8	250	157	--------	-9999	-9999	0	----	D2
0:1:9	257	163	--------	-9999	-9999	1	----	D2
0:1:10	326	299	--------	-9999	-9999	0	----	D2
0:1:11	-9999	-9999	--------	-9999	-9999	1	----	D2
0:1:12	425	303	--------	-9999	-9999	0	----	D2
0:1:13	417	274	--------	-9999	-9999	1	----	D2
0:1:14	326	143	--------	-9999	-9999	0	----	D2
0:1:15	356	192	--------	-9999	-9999	1	----	D2
0:1:16	362	189	--------	-9999	-9999	2	----	D2
0:1:17	437	290	--------	-9999	-9999	3	----	D2
0:1:18	463	296	--------	-9999	-9999	0	----	D2
0:1:19	339	146	--------	-9999	-9999	1	----	D2
0:1:20	396	289	--------	-9999	-9999	0	----	D2
0:1:21	382	305	--------	-9999	-9999	1	----	D2
0:1:22	382	305	--------	-9999	-9999	2	----	D2
0:1:23	380	202	--------	-9999	-9999	3	----	D2
0:2:0	424	212	--------	-9999	-9999	0	----	D2
0:2:1	283	71	--------	-9999	-9999	1	----	D2
0:2:2	345	141	--------	-9999	-9999	0	----	D2
0:2:3	350	157	--------	-9999	-9999	1	----	D2
0:2:4	371	143	--------	-9999	-9999	2	----	D2
0:2:5	519	290	--------	-9999	-9999	3	----	D2
0:2:6	475	227	--------	-9999	-9999	0	----	D2
0:2:7	453	221	--------	-9999	-9999	1	----	D2
0:2:8	456	219	--------	-9999	-9999	2	----	D2
0:2:9	445	201	--------	-9999	-9999	3	----	D2
0:2:10	478	250	Fixation	458	222.75	4	----	D2
0:2:11	484	257	Fixation	463.2	229.6	5	----	D2
0:2:12	468	257	Fixation	464	234.167	6	----	D2
0:2:13	-9999	-9999	--------	-9999	-9999	0	----	D2
0:2:14	595	387	--------	-9999	-9999	1	----	D2
0:2:15	503	222	--------	-9999	-9999	0	----	D2
0:2:16	563	299	--------	-9999	-9999	1	----	D2
0:2:17	558	299	--------	-9999	-9999	2	----	D2
0:2:18	558	299	--------	-9999	-9999	3	----	D2
0:2:19	324	37	--------	-9999	-9999	0	----	D2
0:2:20	337	49	--------	-9999	-9999	1	----	D2
0:2:21	454	110	--------	-9999	-9999	0	----	D2
0:2:22	655	347	--------	-9999	-9999	1	----	D2
0:2:23	-9999	-9999	--------	-9999	-9999	0	----	D2
0:3:0	-9999	-9999	--------	-9999	-9999	1	----	D2
0:3:1	708	354	--------	-9999	-9999	0	----	
0:3:2	635	269	--------	-9999	-9999	1	----	D2
0:3:3	627	267	--------	-9999	-9999	2	----	D2
0:3:4	633	243	--------	-9999	-9999	3	----	D2
0:3:5	641	243	Fixation	634	255.5	4	----	D2
0:3:6	414	7	--------	-9999	-9999	0	----	D2
0:3:7	647	266	--------	-9999	-9999	1	----	D2
0:3:8	-9999	-9999	--------	-9999	-9999	0	----	D2
0:3:9	-9999	-9999	--------	-9999	-9999	1	----	D2
0:3:10	-9999	-9999	--------	-9999	-9999	2	----	D2
0:3:11	645	276	--------	-9999	-9999	3	----	D2
0:3:12	618	195	--------	-9999	-9999	0	----	D2
0:3:13	606	175	--------	-9999	-9999	1	----	D2
