# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	487	202	--------	-9999	-9999	1	----	D1
0:0:14	493	191	--------	-9999	-9999	2	----	D1
0:0:15	501	194	--------	-9999	-9999	3	----	D1
0:0:16	510	196	Fixation	497.75	195.75	4	----	D1
0:0:17	512	193	Fixation	500.6	195.2	5	----	D1
0:0:18	516	178	Fixation	503.167	192.333	6	----	D1
0:0:19	518	188	Fixation	505.286	191.714	7	----	D1
0:0:20	516	195	Fixation	506.625	192.125	8	----	D1
0:0:21	507	204	Fixation	506.667	193.444	9	----	D1
0:0:22	510	201	Fixation	507	194.2	10	----	D1
0:0:23	497	205	Fixation	506.091	195.182	11	----	D1
0:1:0	497	205	Fixation	505.333	196	12	----	
0:1:1	497	205	Fixation	504.692	196.692	13	----	
0:1:2	497	205	Fixation	504.143	197.286	14	----	
0:1:3	497	205	Fixation	503.667	197.8	15	----	
0:1:4	497	205	Fixation	503.25	198.25	16	----	
0:1:5	497	205	Fixation	502.882	198.647	17	----	
0:1:6	497	205	Fixation	502.556	199	18	----	
0:1:7	497	205	Fixation	502.263	199.316	19	----	
0:1:8	497	205	Fixation	502	199.6	20	----	
0:1:9	497	205	Fixation	501.762	199.857	21	----	
0:1:10	497	205	Fixation	501.545	200.091	22	----	
0:1:11	497	205	Fixation	501.348	200.304	23	----	
0:1:12	497	205	Fixation	501.167	200.5	24	----	
0:1:13	497	205	Fixation	501	200.68	25	----	
0:1:14	497	205	Fixation	500.846	200.846	26	----	
0:1:15	497	205	Fixation	500.704	201	27	----	
0:1:16	497	205	Fixation	500.571	201.143	28	----	
0:1:17	497	205	Fixation	500.448	201.276	29	----	
0:1:18	497	205	Fixation	500.333	201.4	30	----	
0:1:19	497	205	Fixation	500.226	201.516	31	----	
0:1:20	497	205	Fixation	500.125	201.625	32	----	
0:1:21	497	205	Fixation	500.03	201.727	33	----	
0:1:22	497	205	Fixation	499.941	201.824	34	----	
0:1:23	497	205	Fixation	499.857	201.914	35	----	
0:2:0	497	205	Fixation	499.778	202	36	----	
0:2:1	497	205	Fixation	499.703	202.081	37	----	
0:2:2	497	205	Fixation	499.632	202.158	38	----	
0:2:3	497	205	Fixation	499.564	202.231	39	----	
0:2:4	497	205	Fixation	499.5	202.3	40	----	
0:2:5	497	205	Fixation	499.439	202.366	41	----	
0:2:6	497	205	Fixation	499.381	202.429	42	----	
0:2:7	497	205	Fixation	499.326	202.488	43	----	
0:2:8	497	205	Fixation	499.273	202.545	44	----	
0:2:9	497	205	Fixation	499.222	202.6	45	----	
0:2:10	497	205	Fixation	499.174	202.652	46	----	
0:2:11	497	205	Fixation	499.128	202.702	47	----	
0:2:12	497	205	Fixation	499.083	202.75	48	----	
0:2:13	497	205	Fixation	499.041	202.796	49	----	
0:2:14	497	205	Fixation	499	202.84	50	----	
0:2:15	497	205	Fixation	498.961	202.882	51	----	
0:2:16	497	205	Fixation	498.923	202.923	52	----	
0:2:17	497	205	Fixation	498.887	202.962	53	----	
0:2:18	497	205	Fixation	498.852	203	54	----	
0:2:19	497	205	Fixation	498.818	203.036	55	----	
0:2:20	497	205	Fixation	498.786	203.071	56	----	
0:2:21	497	205	Fixation	498.754	203.105	57	----	
0:2:22	497	205	Fixation	498.724	203.138	58	----	
0:2:23	497	205	Fixation	498.695	203.169	59	----	
0:3:0	497	205	Fixation	498.667	203.2	60	----	
0:3:1	497	205	Fixation	498.639	203.23	61	----	
0:3:2	497	205	Fixation	498.613	203.258	62	----	
0:3:3	497	205	Fixation	498.587	203.286	63	----	
0:3:4	497	205	Fixation	498.563	203.313	64	----	
0:3:5	497	205	Fixation	498.538	203.338	65	----	
0:3:6	497	205	Fixation	498.515	203.364	66	----	
0:3:7	497	205	Fixation	498.493	203.388	67	----	
0:3:8	497	205	Fixation	498.471	203.412	68	----	
0:3:9	497	205	Fixation	498.449	203.435	69	----	
0:3:10	497	205	Fixation	498.429	203.457	70	----	
0:3:11	497	205	Fixation	498.408	203.479	71	----	
0:3:12	497	205	Fixation	498.389	203.5	72	----	
0:3:13	497	205	Fixation	498.37	203.521	73	----	
0:3:14	497	205	Fixation	498.351	203.541	74	----	
0:3:15	941	162	--------	-9999	-9999	0	----	D1
0:3:16	989	168	--------	-9999	-9999	1	----	D1
0:3:17	989	168	--------	-9999	-9999	2	----	
0:3:18	977	182	--------	-9999	-9999	3	----	D1
0:3:19	972	176	Fixation	981.75	173.5	4	----	D1
0:3:20	975	170	Fixation	980.4	172.8	5	----	D1
0:3:21	1084	187	--------	-9999	-9999	0	----	D1
0:3:22	1088	196	--------	-9999	-9999	1	----	D1
0:3:23	1088	196	--------	-9999	-9999	2	----	
0:4:0	1088	196	--------	-9999	-9999	3	----	
0:4:1	1097	191	Fixation	1090.25	194.75	4	----	D1
0:4:2	1097	191	Fixation	1091.6	194	5	----	
0:4:3	1105	182	Fixation	1093.83	192	6	----	D1
0:4:4	1123	167	Fixation	1098	188.429	7	----	D1
0:4:5	1123	167	Fixation	1101.13	185.75	8	----	
0:4:6	1123	167	Fixation	1103.56	183.667	9	----	
0:4:7	1123	167	Fixation	1105.5	182	10	----	
0:4:8	1123	167	Fixation	1107.09	180.636	11	----	
0:4:9	1123	167	Fixation	1108.42	179.5	12	----	
0:4:10	1123	167	Fixation	1109.54	178.538	13	----	
0:4:11	1123	167	Fixation	1110.5	177.714	14	----	
0:4:12	1123	167	Fixation	1111.33	177	15	----	
0:4:13	1123	167	Fixation	1112.06	176.375	16	----	
0:4:14	1241	243	--------	-9999	-9999	0	----	D1
0:4:15	1241	243	--------	-9999	-9999	1	----	
0:4:16	1238	310	--------	-9999	-9999	2	----	D1
0:4:17	1238	310	--------	-9999	-9999	3	----	
0:4:18	1238	310	--------	-9999	-9999	0	----	
0:4:19	1238	310	--------	-9999	-9999	1	----	
0:4:20	1238	310	--------	-9999	-9999	2	----	
0:4:21	1290	242	--------	-9999	-9999	3	----	D1
0:4:22	1290	242	--------	-9999	-9999	0	----	
0:4:23	1290	242	--------	-9999	-9999	1	----	
0:5:0	1290	242	--------	-9999	-9999	2	----	
0:5:1	1290	242	--------	-9999	-9999	3	----	
0:5:2	1290	242	Fixation	1290	242	4	----	
0:5:3	1290	242	Fixation	1290	242	5	----	
0:5:4	1290	242	Fixation	1290	242	6	----	
0:5:5	1290	242	Fixation	1290	242	7	----	
0:5:6	1290	242	Fixation	1290	242	8	----	
0:5:7	298	252	--------	-9999	-9999	0	----	D1
0:5:8	302	237	--------	-9999	-9999	1	----	D1
0:5:9	302	237	--------	-9999	-9999	2	----	
0:5:10	282	227	--------	-9999	-9999	3	----	D1
0:5:11	282	227	Fixation	292	232	4	----	
0:5:12	282	227	Fixation	290	231	5	----	
0:5:13	282	227	Fixation	288.667	230.333	6	----	
0:5:14	235	257	--------	-9999	-9999	0	----	D1
0:5:15	220	239	--------	-9999	-9999	1	----	D1
0:5:16	220	239	--------	-9999	-9999	2	----	
0:5:17	220	239	--------	-9999	-9999	3	----	
0:5:18	220	239	Fixation	220	239	4	----	
0:5:19	220	239	Fixation	220	239	5	----	
0:5:20	327	244	--------	-9999	-9999	0	----	D1
0:5:21	327	244	--------	-9999	-9999	1	----	
0:5:22	334	233	--------	-9999	-9999	2	----	D1
0:5:23	329	241	--------	-9999	-9999	3	----	D1
0:6:0	329	241	Fixation	329.75	239.75	4	----	
0:6:1	340	236	Fixation	331.8	239	5	----	D1
0:6:2	333	241	Fixation	332	239.333	6	----	D1
0:6:3	331	246	Fixation	331.857	240.286	7	----	D1
