# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	-9999	-9999	--------	-9999	-9999	1	----	S2
0:0:14	-9999	-9999	--------	-9999	-9999	2	----	S2
0:0:15	419	224	--------	-9999	-9999	3	----	S2
0:0:16	439	277	--------	-9999	-9999	0	----	S2
0:0:17	418	221	--------	-9999	-9999	1	----	S2
0:0:18	441	247	--------	-9999	-9999	2	----	S2
0:0:19	429	233	--------	-9999	-9999	3	----	S2
0:0:20	416	181	--------	-9999	-9999	0	----	S2
0:0:21	428	216	--------	-9999	-9999	1	----	S2
0:0:22	417	225	--------	-9999	-9999	2	----	S2
0:0:23	414	207	--------	-9999	-9999	3	----	S2
0:1:0	414	207	Fixation	418.25	213.75	4	----	S2
0:1:1	435	206	Fixation	421.6	212.2	5	----	S2
0:1:2	433	190	Fixation	423.5	208.5	6	----	S2
0:1:3	433	190	Fixation	424.857	205.857	7	----	S2
0:1:4	430	190	Fixation	425.5	203.875	8	----	S2
0:1:5	437	227	Fixation	426.778	206.444	9	----	S2
0:1:6	440	193	Fixation	428.1	205.1	10	----	S2
0:1:7	485	181	--------	-9999	-9999	0	----	S2
0:1:8	514	224	--------	-9999	-9999	1	----	S2
0:1:9	516	230	--------	-9999	-9999	2	----	S2
0:1:10	506	197	--------	-9999	-9999	3	----	S2
0:1:11	512	221	Fixation	512	218	4	----	S2
0:1:12	534	265	--------	-9999	-9999	0	----	S2
0:1:13	506	149	--------	-9999	-9999	1	----	S2
0:1:14	500	207	--------	-9999	-9999	2	----	S2
0:1:15	483	181	--------	-9999	-9999	3	----	S2
0:1:16	481	195	Fixation	492.5	183	4	----	S2
0:1:17	485	237	--------	-9999	-9999	0	----	S2
0:1:18	484	180	--------	-9999	-9999	1	----	S2
0:1:19	495	194	--------	-9999	-9999	2	----	S2
0:1:20	509	201	--------	-9999	-9999	3	----	S2
0:1:21	511	166	Fixation	499.75	185.25	4	----	S2
0:1:22	550	183	--------	-9999	-9999	0	----	S2
0:1:23	548	102	--------	-9999	-9999	1	----	S2
0:2:0	582	122	--------	-9999	-9999	2	----	S2
0:2:1	555	96	--------	-9999	-9999	3	----	S2
0:2:2	556	164	--------	-9999	-9999	0	----	S2
0:2:3	601	110	--------	-9999	-9999	1	----	S2
0:2:4	632	171	--------	-9999	-9999	2	----	S2
0:2:5	627	179	--------	-9999	-9999	3	----	S2
0:2:6	633	203	--------	-9999	-9999	0	----	S2
0:2:7	621	65	--------	-9999	-9999	1	----	S2
0:2:8	613	167	--------	-9999	-9999	0	----	S2
0:2:9	620	250	--------	-9999	-9999	1	----	S2
0:2:10	607	181	--------	-9999	-9999	2	----	S2
0:2:11	654	191	--------	-9999	-9999	3	----	S2
0:2:12	676	217	--------	-9999	-9999	0	----	S2
0:2:13	695	171	--------	-9999	-9999	1	----	S2
0:2:14	727	232	--------	-9999	-9999	2	----	S2
0:2:15	730	160	--------	-9999	-9999	3	----	S2
0:2:16	723	159	--------	-9999	-9999	0	----	S2
0:2:17	700	144	--------	-9999	-9999	1	----	S2
0:2:18	691	206	--------	-9999	-9999	2	----	S2
0:2:19	666	272	--------	-9999	-9999	3	----	S2
0:2:20	630	171	--------	-9999	-9999	0	----	S2
0:2:21	657	191	--------	-9999	-9999	1	----	S2
0:2:22	726	249	--------	-9999	-9999	0	----	S2
0:2:23	737	200	--------	-9999	-9999	1	----	S2
0:3:0	769	151	--------	-9999	-9999	2	----	S2
0:3:1	757	251	--------	-9999	-9999	3	----	S2
0:3:2	767	245	--------	-9999	-9999	0	----	S2
0:3:3	779	150	--------	-9999	-9999	1	----	S2
0:3:4	799	258	--------	-9999	-9999	0	----	S2
0:3:5	805	206	--------	-9999	-9999	1	----	S2
0:3:6	819	167	--------	-9999	-9999	2	----	S2
0:3:7	810	215	--------	-9999	-9999	3	----	S2
0:3:8	887	173	--------	-9999	-9999	0	----	S2
0:3:9	887	215	--------	-9999	-9999	1	----	S2
0:3:10	879	166	--------	-9999	-9999	2	----	S2
0:3:11	853	272	--------	-9999	-9999	3	----	S2
0:3:12	851	301	--------	-9999	-9999	0	----	S2
0:3:13	842	203	--------	-9999	-9999	1	----	S2
0:3:14	866	233	--------	-9999	-9999	2	----	S2
0:3:15	883	198	--------	-9999	-9999	3	----	S2
0:3:16	870	174	Fixation	865.25	202	4	----	S2
0:3:17	870	196	Fixation	866.2	200.8	5	----	S2
0:3:18	836	236	Fixation	861.167	206.667	6	----	S2
0:3:19	855	226	Fixation	860.286	209.429	7	----	S2
0:3:20	862	226	Fixation	860.5	211.5	8	----	S2
0:3:21	862	268	--------	-9999	-9999	0	----	S2
0:3:22	875	248	--------	-9999	-9999	1	----	S2
0:3:23	847	299	--------	-9999	-9999	2	----	S2
0:4:0	-9999	-9999	--------	-9999	-9999	3	----	S2
0:4:1	-9999	-9999	--------	-9999	-9999	0	----	S2
0:4:2	803	272	--------	-9999	-9999	1	----	S2
0:4:3	807	256	--------	-9999	-9999	2	----	S2
0:4:4	800	202	--------	-9999	-9999	3	----	S2
0:4:5	799	209	Fixation	802.25	234.75	4	----	S2
0:4:6	795	199	--------	-9999	-9999	0	----	S2
0:4:7	799	158	--------	-9999	-9999	1	----	S2
0:4:8	826	182	--------	-9999	-9999	2	----	S2
0:4:9	831	210	--------	-9999	-9999	3	----	S2
0:4:10	832	230	--------	-9999	-9999	0	----	S2
0:4:11	849	182	--------	-9999	-9999	1	----	S2
0:4:12	842	319	--------	-9999	-9999	0	----	S2
0:4:13	-9999	-9999	--------	-9999	-9999	1	----	S2
0:4:14	815	218	--------	-9999	-9999	0	----	S2
0:4:15	875	53	--------	-9999	-9999	1	----	S2
0:4:16	859	193	--------	-9999	-9999	0	----	S2
0:4:17	861	227	--------	-9999	-9999	1	----	S2
0:4:18	868	236	--------	-9999	-9999	2	----	S2
0:4:19	878	122	--------	-9999	-9999	3	----	S2
0:4:20	866	245	--------	-9999	-9999	0	----	S2
0:4:21	860	15	--------	-9999	-9999	1	----	S2
0:4:22	855	199	--------	-9999	-9999	0	----	S2
0:4:23	868	176	--------	-9999	-9999	1	----	S2
0:5:0	857	259	--------	-9999	-9999	0	----	S2
