# frameNo	x_coordinate(jpg, png, ...)	y_coordinate(jpg, png, ...)	fixation_or_not	fixation_centroid_x	fixation_centroid_y	fixation_duration	nearestWord	RetrievedDocument
0:0:13	214	207	--------	-9999	-9999	1	----	D1
0:0:14	212	219	--------	-9999	-9999	2	----	D1
0:0:15	215	222	--------	-9999	-9999	3	----	D1
0:0:16	220	225	Fixation	215.25	218.25	4	----	D1
0:0:17	218	226	Fixation	215.8	219.8	5	----	D1
0:0:18	214	223	Fixation	215.5	220.333	6	----	D1
0:0:19	328	250	--------	-9999	-9999	0	----	D1
0:0:20	320	258	--------	-9999	-9999	1	----	D1
0:0:21	320	256	--------	-9999	-9999	2	----	D1
0:0:22	313	238	--------	-9999	-9999	3	----	D1
0:0:23	256	236	--------	-9999	-9999	0	----	D1
0:1:0	243	232	--------	-9999	-9999	1	----	D1
0:1:1	233	229	--------	-9999	-9999	2	----	D1
0:1:2	236	232	--------	-9999	-9999	3	----	D1
0:1:3	233	238	Fixation	236.25	232.75	4	----	D1
0:1:4	237	225	Fixation	236.4	231.2	5	----	D1
0:1:5	238	225	Fixation	236.667	230.167	6	----	D1
0:1:6	240	230	Fixation	237.143	230.143	7	----	D1
0:1:7	325	242	--------	-9999	-9999	0	----	D1
0:1:8	329	233	--------	-9999	-9999	1	----	D1
0:1:9	337	224	--------	-9999	-9999	2	----	D1
0:1:10	356	235	--------	-9999	-9999	3	----	D1
0:1:11	376	233	Fixation	349.5	231.25	4	----	D1
0:1:12	386	231	Fixation	356.8	231.2	5	----	D1
0:1:13	390	224	Fixation	362.333	230	6	----	D1
0:1:14	272	225	--------	-9999	-9999	0	----	D1
0:1:15	275	226	--------	-9999	-9999	1	----	D1
0:1:16	286	230	--------	-9999	-9999	2	----	D1
0:1:17	284	229	--------	-9999	-9999	3	----	D1
0:1:18	231	229	Fixation	269	228.5	4	----	D1
0:1:19	234	235	Fixation	262	229.8	5	----	D1
0:1:20	239	231	Fixation	258.167	230	6	----	D1
0:1:21	240	220	Fixation	255.571	228.571	7	----	D1
0:1:22	235	221	Fixation	253	227.625	8	----	D1
0:1:23	237	230	Fixation	251.222	227.889	9	----	D1
0:2:0	236	217	Fixation	249.7	226.8	10	----	D1
0:2:1	243	217	Fixation	249.091	225.909	11	----	D1
0:2:2	216	215	Fixation	246.333	225	12	----	D1
0:2:3	214	215	--------	-9999	-9999	0	----	D1
0:2:4	216	223	--------	-9999	-9999	1	----	D1
0:2:5	213	226	--------	-9999	-9999	2	----	D1
0:2:6	218	225	--------	-9999	-9999	3	----	D1
0:2:7	220	220	Fixation	216.75	223.5	4	----	D1
0:2:8	212	222	Fixation	215.8	223.2	5	----	D1
0:2:9	220	226	Fixation	216.5	223.667	6	----	D1
0:2:10	225	222	Fixation	217.714	223.429	7	----	D1
0:2:11	230	224	Fixation	219.25	223.5	8	----	D1
0:2:12	232	224	Fixation	220.667	223.556	9	----	D1
0:2:13	232	224	Fixation	221.8	223.6	10	----	D1
0:2:14	232	225	Fixation	222.727	223.727	11	----	D1
0:2:15	230	221	Fixation	223.333	223.5	12	----	D1
0:2:16	229	215	Fixation	223.769	222.846	13	----	D1
0:2:17	231	214	Fixation	224.286	222.214	14	----	D1
0:2:18	227	222	Fixation	224.467	222.2	15	----	D1
0:2:19	228	218	Fixation	224.688	221.938	16	----	D1
0:2:20	227	225	Fixation	224.824	222.118	17	----	D1
0:2:21	220	227	Fixation	224.556	222.389	18	----	D1
0:2:22	211	225	Fixation	223.842	222.526	19	----	D1
0:2:23	210	222	Fixation	223.15	222.5	20	----	D1
0:3:0	253	226	Fixation	224.571	222.667	21	----	D1
0:3:1	318	248	--------	-9999	-9999	0	----	D1
0:3:2	318	245	--------	-9999	-9999	1	----	D1
0:3:3	322	233	--------	-9999	-9999	2	----	D1
0:3:4	318	238	--------	-9999	-9999	3	----	D1
0:3:5	380	253	--------	-9999	-9999	0	----	D1
0:3:6	379	254	--------	-9999	-9999	1	----	D1
0:3:7	385	248	--------	-9999	-9999	2	----	D1
0:3:8	468	259	--------	-9999	-9999	3	----	D1
0:3:9	472	254	--------	-9999	-9999	0	----	D1
0:3:10	481	259	--------	-9999	-9999	1	----	D1
0:3:11	477	250	--------	-9999	-9999	2	----	D1
0:3:12	480	237	--------	-9999	-9999	3	----	D1
0:3:13	482	234	Fixation	480	245	4	----	D1
0:3:14	579	251	--------	-9999	-9999	0	----	D1
0:3:15	575	244	--------	-9999	-9999	1	----	D1
0:3:16	578	244	--------	-9999	-9999	2	----	D1
0:3:17	577	231	--------	-9999	-9999	3	----	D1
0:3:18	582	232	Fixation	578	237.75	4	----	D1
0:3:19	580	240	Fixation	578.4	238.2	5	----	D1
0:3:20	625	239	Fixation	586.167	238.333	6	----	D1
0:3:21	669	247	--------	-9999	-9999	0	----	D1
0:3:22	672	250	--------	-9999	-9999	1	----	D1
0:3:23	665	253	--------	-9999	-9999	2	----	D1
0:4:0	662	245	--------	-9999	-9999	3	----	D1
0:4:1	663	246	Fixation	665.5	248.5	4	----	D1
0:4:2	664	241	Fixation	665.2	247	5	----	D1
0:4:3	659	239	Fixation	664.167	245.667	6	----	D1
0:4:4	662	237	Fixation	663.857	244.429	7	----	D1
0:4:5	664	235	Fixation	663.875	243.25	8	----	D1
0:4:6	665	235	Fixation	664	242.333	9	----	D1
0:4:7	669	232	Fixation	664.5	241.3	10	----	D1
0:4:8	675	232	Fixation	665.455	240.455	11	----	D1
0:4:9	673	223	Fixation	666.083	239	12	----	D1
0:4:10	720	219	--------	-9999	-9999	0	----	D1
0:4:11	721	218	--------	-9999	-9999	1	----	D1
0:4:12	726	209	--------	-9999	-9999	2	----	D1
0:4:13	728	212	--------	-9999	-9999	3	----	D1
0:4:14	725	199	Fixation	725	209.5	4	----	D1
0:4:15	720	211	Fixation	724	209.8	5	----	D1
0:4:16	728	210	Fixation	724.667	209.833	6	----	D1
0:4:17	724	201	Fixation	724.571	208.571	7	----	D1
0:4:18	485	222	--------	-9999	-9999	0	----	D1
0:4:19	485	224	--------	-9999	-9999	1	----	D1
0:4:20	478	235	--------	-9999	-9999	2	----	D1
0:4:21	479	224	--------	-9999	-9999	3	----	D1
0:4:22	481	227	Fixation	480.75	227.5	4	----	D1
0:4:23	483	236	Fixation	481.2	229.2	5	----	D1
0:5:0	486	229	Fixation	482	229.167	6	----	D1
0:5:1	484	240	Fixation	482.286	230.714	7	----	D1
0:5:2	486	237	Fixation	482.75	231.5	8	----	D1
0:5:3	490	234	Fixation	483.556	231.778	9	----	D1
0:5:4	492	232	Fixation	484.4	231.8	10	----	D1
0:5:5	569	230	--------	-9999	-9999	0	----	D1
0:5:6	581	228	--------	-9999	-9999	1	----	D1
0:5:7	574	237	--------	-9999	-9999	2	----	D1
0:5:8	578	224	--------	-9999	-9999	3	----	D1
0:5:9	579	232	Fixation	578	230.25	4	----	D1
0:5:10	683	229	--------	-9999	-9999	0	----	D1
0:5:11	691	224	--------	-9999	-9999	1	----	D1
0:5:12	697	230	--------	-9999	-9999	2	----	D1
0:5:13	694	226	--------	-9999	-9999	3	----	D1
0:5:14	692	227	Fixation	693.5	226.75	4	----	D1
0:5:15	694	232	Fixation	693.6	227.8	5	----	D1
0:5:16	728	229	Fixation	699.333	228	6	----	D1
0:5:17	762	228	--------	-9999	-9999	0	----	D1
0:5:18	764	220	--------	-9999	-9999	1	----	D1
0:5:19	762	215	--------	-9999	-9999	2	----	D1
0:5:20	846	237	--------	-9999	-9999	3	----	D1
0:5:21	874	246	--------	-9999	-9999	0	----	D1
0:5:22	870	233	--------	-9999	-9999	1	----	D1
0:5:23	867	240	--------	-9999	-9999	2	----	D1
0:6:0	867	240	--------	-9999	-9999	3	----	D1
0:6:1	868	239	Fixation	868	238	4	----	D1
0:6:2	891	234	Fixation	872.6	237.2	5	----	D1
0:6:3	980	228	--------	-9999	-9999	0	----	D1
0:6:4	976	234	--------	-9999	-9999	1	----	D1
0:6:5	980	234	--------	-9999	-9999	2	----	D1
0:6:6	980	228	--------	-9999	-9999	3	----	D1
0:6:7	1028	235	Fixation	991	232.75	4	----	D1
0:6:8	1090	245	--------	-9999	-9999	0	----	D1
0:6:9	1094	230	--------	-9999	-9999	1	----	D1
0:6:10	1088	240	--------	-9999	-9999	2	----	D1
0:6:11	1088	234	--------	-9999	-9999	3	----	D1
0:6:12	1074	229	Fixation	1086	233.25	4	----	D1
0:6:13	1076	230	Fixation	1084	232.6	5	----	D1
0:6:14	1077	225	Fixation	1082.83	231.333	6	----	D1
0:6:15	1076	228	Fixation	1081.86	230.857	7	----	D1
0:6:16	1078	222	Fixation	1081.38	229.75	8	----	D1
0:6:17	1075	224	Fixation	1080.67	229.111	9	----	D1
0:6:18	1140	233	--------	-9999	-9999	0	----	D1
0:6:19	1176	231	--------	-9999	-9999	1	----	D1
0:6:20	1179	229	--------	-9999	-9999	2	----	D1
0:6:21	1175	234	--------	-9999	-9999	3	----	D1
0:6:22	1171	234	Fixation	1175.25	232	4	----	D1
0:6:23	1171	234	Fixation	1174.4	232.4	5	----	D1
0:7:0	1260	240	--------	-9999	-9999	0	----	D1
0:7:1	1259	233	--------	-9999	-9999	1	----	D1
0:7:2	1257	237	--------	-9999	-9999	2	----	D1
0:7:3	1259	229	--------	-9999	-9999	3	----	D1
0:7:4	1253	223	Fixation	1257	230.5	4	----	D1
0:7:5	1255	230	Fixation	1256.6	230.4	5	----	D1
0:7:6	1256	226	Fixation	1256.5	229.667	6	----	D1
0:7:7	1212	232	Fixation	1250.14	230	7	----	D1
0:7:8	531	276	--------	-9999	-9999	0	----	D1
