1,618.75,179.75,4,image-01,13,1
2,696.25,357.375,8,image-01,13,1
3,779.889,237.722,18,image-01,13,1
4,897.75,251.25,12,image-01,13,1
5,1109.57,236.429,7,image-01,13,1
6,1171.13,232.0,8,image-01,13,1
7,787.75,368.25,4,image-01,13,1
8,693.6,373.2,10,image-01,13,1
9,635.667,383.222,9,image-01,13,1
10,739.0,378.857,14,image-01,13,1
11,906.176,362.0,17,image-01,13,1
12,1021.83,334.5,6,image-01,13,1
13,797.375,434.063,16,image-01,13,1
14,782.05,460.95,20,image-01,13,1
15,637.0,610.0,6,image-01,13,1
16,900.143,546.0,7,image-01,13,1
17,658.5,571.5,6,image-01,13,1
18,772.2,588.1,10,image-01,13,1
19,818.333,583.556,9,image-01,13,1
20,911.364,586.455,11,image-01,13,1
21,1030.38,573.75,8,image-01,13,1
22,1115.33,584.133,15,image-01,13,1
23,1194.0,580.75,4,image-01,13,1
24,516.636,691.455,11,image-01,13,1
25,599.765,650.765,17,image-01,13,1
26,658.737,643.579,19,image-01,13,1
27,732.8,650.4,5,image-01,13,1
28,783.833,599.667,6,image-01,13,1
29,884.235,614.824,17,image-01,13,1
30,958.0,622.368,19,image-01,13,1
31,1043.38,624.25,16,image-01,13,1
32,1168.24,622.095,21,image-01,13,1
33,542.483,699.379,29,image-01,13,1
34,629.0,673.304,23,image-01,13,1
35,733.188,666.188,16,image-01,13,1
36,864.2,598.6,5,image-01,13,1
37,880.727,633.727,11,image-01,13,1
38,964.5,641.0,18,image-01,13,1
39,1089.93,654.714,14,image-01,13,1
40,1174.0,655.333,6,image-01,13,1
41,511.75,747.0,8,image-01,13,1
42,576.5,713.75,28,image-01,13,1
43,653.615,697.346,26,image-01,13,1
44,744.941,700.176,17,image-01,13,1
45,823.455,689.0,11,image-01,13,1
46,914.0,677.6,15,image-01,13,1
47,975.0,659.625,16,image-01,13,1
48,1081.06,666.75,16,image-01,13,1
49,530.95,752.25,20,image-01,13,1
50,586.792,740.167,24,image-01,13,1
51,640.167,736.5,6,image-01,13,1
52,691.786,700.714,14,image-01,13,1
53,786.375,706.583,24,image-01,13,1
54,804.0,712.333,6,image-01,13,1
55,764.875,730.5,8,image-01,13,1
