161,1,802.3,726.7,10,image-01,17,1
168,2,832.25,713.5,8,image-01,17,1
195,3,455.833,679.0,6,image-01,17,1
210,4,589.091,700.545,22,image-01,17,1
227,5,900.815,735.963,27,image-01,17,1
241,6,1005.55,737.75,20,image-01,17,1
251,7,379.5,705.5,4,image-01,17,1
280,8,966.133,706.533,15,image-01,17,1
284,9,1074.75,716.333,12,image-01,17,1
313,10,507.933,715.533,15,image-01,17,1
329,11,533.556,726.889,9,image-01,17,1
340,12,557.25,725.5,4,image-01,17,1
360,13,990.692,737.0,13,image-01,17,1
370,14,872.0,745.875,8,image-01,17,1
391,15,495.75,746.917,24,image-01,17,1
407,16,704.045,758.136,22,image-01,17,1
414,17,691.077,772.385,13,image-01,17,1
418,18,592.0,769.1,10,image-01,17,1
430,19,892.833,776.667,12,image-01,17,1
442,20,1087.9,785.2,10,image-01,17,1
459,21,515.393,759.321,28,image-01,17,1
473,22,665.333,763.556,9,image-01,17,1
504,23,867.5,786.167,6,image-01,17,1
510,24,338.2,784.2,10,image-01,17,1
533,25,676.556,788.222,9,image-01,17,1
549,26,971.5,793.9,10,image-01,17,1
557,27,1091.81,787.25,16,image-01,17,1
565,28,343.769,786.923,13,image-01,17,1
588,29,589.0,798.6,5,image-01,17,1
603,30,1122.25,804.75,4,image-01,17,1
609,31,339.75,810.25,4,image-01,17,1
630,32,522.625,1218.0,8,image-01,17,1
646,33,664.5,776.0,4,image-01,17,1
664,34,794.0,1098.75,4,image-01,17,1
677,35,536.75,1172.5,4,image-01,17,1
687,36,681.0,1060.2,5,image-01,17,1
700,37,943.273,1058.36,11,image-01,17,1
729,38,649.75,1195.5,4,image-01,17,1
752,39,825.167,1079.83,6,image-01,17,1
755,40,645.25,1111.0,4,image-01,17,1
789,41,995.4,1022.0,5,image-01,17,1
798,42,298.0,858.143,7,image-01,17,1
826,43,850.667,1070.5,6,image-01,17,1
831,44,916.833,1041.0,6,image-01,17,1
840,45,219.25,1334.25,4,image-01,17,1
871,46,619.286,1284.0,7,image-01,17,1
875,47,600.444,1306.33,9,image-01,17,1
884,48,736.2,1358.6,10,image-01,17,1
892,49,812.737,1334.89,19,image-01,17,1
