2714	277	1638	--------	-9999	-9999	0	----	image-09
2715	274	1652	--------	-9999	-9999	1	----	image-09
2716	360	1658	--------	-9999	-9999	2	----	
2717	376	1642	--------	-9999	-9999	3	----	image-09
2718	382	1632	--------	-9999	-9999	0	----	image-09
2719	363	1634	--------	-9999	-9999	1	----	image-09
2720	381	1633	--------	-9999	-9999	2	----	image-09
2721	378	1620	--------	-9999	-9999	3	----	image-09
2722	369	1609	Fixation	372.75	1624	4	----	
2723	370	1636	Fixation	372.2	1626.4	5	----	image-09
2724	370	1608	Fixation	371.833	1623.33	6	----	image-09
2725	364	1635	Fixation	370.714	1625	7	----	image-09
2726	490	1624	--------	-9999	-9999	0	----	image-09
2727	493	1624	--------	-9999	-9999	1	----	image-09
2728	495	1641	--------	-9999	-9999	2	----	image-09
2729	493	1617	--------	-9999	-9999	3	----	image-09
2730	489	1634	Fixation	492.5	1629	4	----	image-09
2731	490	1610	Fixation	492	1625.2	5	----	image-09
2732	464	1633	Fixation	487.333	1626.5	6	----	image-09
2733	217	1639	--------	-9999	-9999	0	----	image-09
2734	223	1643	--------	-9999	-9999	1	----	image-09
2735	226	1636	--------	-9999	-9999	2	----	image-09
2736	227	1650	--------	-9999	-9999	3	----	image-09
2737	230	1657	Fixation	226.5	1646.5	4	----	image-09
2738	233	1657	Fixation	227.8	1648.6	5	----	image-09
2739	234	1674	Fixation	228.833	1652.83	6	----	
2740	237	1668	Fixation	230	1655	7	----	image-09
2741	197	1723	--------	-9999	-9999	0	----	image-09
2742	197	1720	--------	-9999	-9999	1	----	image-09
2743	204	1730	--------	-9999	-9999	2	----	image-09
2744	197	1733	--------	-9999	-9999	3	----	image-09
2745	204	1746	Fixation	200.5	1732.25	4	----	image-09
2746	192	1746	Fixation	198.8	1735	5	----	image-09
2747	184	1722	Fixation	196.333	1732.83	6	----	
2748	185	1746	Fixation	194.714	1734.71	7	----	
2749	194	1720	Fixation	194.625	1732.88	8	----	
2750	307	1747	--------	-9999	-9999	0	----	image-09
2751	363	1746	--------	-9999	-9999	1	----	image-09
2752	363	1755	--------	-9999	-9999	2	----	
2753	369	1762	--------	-9999	-9999	3	----	image-09
2754	372	1765	Fixation	366.75	1757	4	----	image-09
2755	378	1785	Fixation	369	1762.6	5	----	image-09
2756	369	1794	Fixation	369	1767.83	6	----	
2757	323	1767	Fixation	362.429	1767.71	7	----	image-09
2758	323	1783	Fixation	357.5	1769.63	8	----	image-09
2759	326	1770	Fixation	354	1769.67	9	----	
2760	326	1760	Fixation	351.2	1768.7	10	----	
2761	326	1760	Fixation	348.909	1767.91	11	----	image-09
2762	335	1764	Fixation	347.75	1767.58	12	----	
2763	329	1764	Fixation	346.308	1767.31	13	----	image-09
2764	382	1667	--------	-9999	-9999	0	----	image-09
2765	377	1667	--------	-9999	-9999	1	----	image-09
2766	324	1649	--------	-9999	-9999	2	----	image-09
2767	318	1645	--------	-9999	-9999	3	----	image-09
2768	315	1648	Fixation	333.5	1652.25	4	----	image-09
2769	315	1642	--------	-9999	-9999	0	----	
2770	320	1636	--------	-9999	-9999	1	----	
2771	309	1635	--------	-9999	-9999	2	----	image-09
2772	341	1650	--------	-9999	-9999	3	----	
2773	453	1663	--------	-9999	-9999	0	----	image-09
2774	516	1626	--------	-9999	-9999	1	----	image-09
2775	516	1626	--------	-9999	-9999	2	----	image-09
2776	519	1633	--------	-9999	-9999	3	----	
2777	519	1620	Fixation	517.5	1626.25	4	----	image-09
2778	519	1626	Fixation	517.8	1626.2	5	----	image-09
2779	521	1636	Fixation	518.333	1627.83	6	----	image-09
2780	519	1620	Fixation	518.429	1626.71	7	----	
2781	519	1620	Fixation	518.5	1625.88	8	----	image-09
2782	618	1636	--------	-9999	-9999	0	----	
2783	624	1639	--------	-9999	-9999	1	----	image-09
2784	624	1639	--------	-9999	-9999	2	----	image-09
2785	627	1636	--------	-9999	-9999	3	----	image-09
2786	621	1646	Fixation	624	1640	4	----	
2787	621	1639	Fixation	623.4	1639.8	5	----	image-09
2788	621	1642	Fixation	623	1640.17	6	----	image-09
2789	664	1653	Fixation	628.857	1642	7	----	image-09
2790	691	1651	--------	-9999	-9999	0	----	image-09
2791	693	1664	--------	-9999	-9999	1	----	
2792	687	1657	--------	-9999	-9999	2	----	image-09
2793	693	1657	--------	-9999	-9999	3	----	image-09
