fr_index,fr_dist,fr_time,fr_duration,fr_speed,cond,subject,section
5092,214.67,31.0,96,6.92,1-column,sub-16,-
5093,22.71,2.0,9,11.36,1-column,sub-16,-
5094,95.69,16.0,46,5.98,1-column,sub-16,-
5095,31.07,4.0,18,7.77,1-column,sub-16,-
5096,61.83,17.0,58,3.64,1-column,sub-16,-
5097,148.77,20.0,55,7.44,1-column,sub-16,-
5099,30.77,4.0,26,7.69,1-column,sub-16,-
5100,58.41,17.0,52,3.44,1-column,sub-16,-
5101,104.05,5.0,17,20.81,1-column,sub-16,-
5102,96.1,20.0,45,4.8,1-column,sub-16,-
5104,161.62,32.0,80,5.05,1-column,sub-16,-
5105,159.34,21.0,50,7.59,1-column,sub-16,-
5106,358.65,3.0,10,119.55,1-column,sub-16,-
5107,132.97,10.0,21,13.3,1-column,sub-16,-
5110,36.0,6.0,21,6.0,1-column,sub-16,-
5111,155.17,16.0,36,9.7,1-column,sub-16,-
5113,238.86,4.0,14,59.71,1-column,sub-16,-
5114,76.82,18.0,17,4.27,1-column,sub-16,-
5115,84.04,14.0,42,6.0,1-column,sub-16,-
5121,241.13,68.0,93,3.55,1-column,sub-16,-
5123,122.47,171.0,57,0.72,1-column,sub-16,S3
5125,55.84,19.0,47,2.94,1-column,sub-16,S3
5126,131.01,40.0,26,3.28,1-column,sub-16,S3
5127,128.51,25.0,22,5.14,1-column,sub-16,S3
5129,137.0,14.0,14,9.79,1-column,sub-16,S3
5130,142.66,28.0,53,5.09,1-column,sub-16,S3
5131,59.99,31.0,8,1.94,1-column,sub-16,S3
5132,51.38,16.0,29,3.21,1-column,sub-16,S3
5133,156.12,16.0,53,9.76,1-column,sub-16,S3
5134,249.34,24.0,44,10.39,1-column,sub-16,S3
5135,29.22,3.0,18,9.74,1-column,sub-16,S3
5136,191.15,17.0,24,11.24,1-column,sub-16,S3
5138,97.6,5.0,19,19.52,1-column,sub-16,S3
5139,30.87,3.0,12,10.29,1-column,sub-16,S3
5141,147.91,23.0,48,6.43,1-column,sub-16,S3
5142,52.15,9.0,27,5.79,1-column,sub-16,S3
5143,63.06,7.0,29,9.01,1-column,sub-16,S3
5145,65.13,27.0,71,2.41,1-column,sub-16,S3
5146,136.57,6.0,27,22.76,1-column,sub-16,S3
5147,65.43,16.0,54,4.09,1-column,sub-16,S3
5148,168.81,14.0,51,12.06,1-column,sub-16,S3
5149,193.14,16.0,40,12.07,1-column,sub-16,S3
5150,30.28,2.0,13,15.14,1-column,sub-16,S3
5151,116.49,4.0,10,29.12,1-column,sub-16,S3
5152,66.71,14.0,38,4.77,1-column,sub-16,S3
5153,149.25,10.0,29,14.93,1-column,sub-16,S3
5154,18.1,5.0,13,3.62,1-column,sub-16,S3
5155,60.77,8.0,25,7.6,1-column,sub-16,S3
5156,84.32,6.0,26,14.05,1-column,sub-16,S3
5157,40.62,13.0,38,3.12,1-column,sub-16,S3
5158,150.4,9.0,30,16.71,1-column,sub-16,S3
5159,48.09,9.0,39,5.34,1-column,sub-16,S3
5160,147.1,13.0,37,11.32,1-column,sub-16,S3
5161,196.51,26.0,67,7.56,1-column,sub-16,S3
5162,216.6,35.0,79,6.19,1-column,sub-16,S3
5164,172.53,13.0,39,13.27,1-column,sub-16,S3
5165,43.81,3.0,15,14.6,1-column,sub-16,S3
5166,124.28,6.0,21,20.71,1-column,sub-16,S3
5167,72.96,2.0,10,36.48,1-column,sub-16,S3
5171,172.98,22.0,51,7.86,1-column,sub-16,S3
5172,210.58,25.0,71,8.42,1-column,sub-16,S3
5173,87.58,3.0,27,29.19,1-column,sub-16,S3
5174,64.9,8.0,22,8.11,1-column,sub-16,S3
5176,164.69,10.0,37,16.47,1-column,sub-16,S3
5177,129.22,26.0,37,4.97,1-column,sub-16,S3
5178,220.86,15.0,17,14.72,1-column,sub-16,S3
5181,132.21,30.0,12,4.41,1-column,sub-16,-
5183,32.47,4.0,14,8.12,1-column,sub-16,-
5185,117.7,13.0,19,9.05,1-column,sub-16,-
5186,139.17,20.0,42,6.96,1-column,sub-16,-
5187,68.11,12.0,23,5.68,1-column,sub-16,-
